FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK
build.rs,5.310,0.483,22.896,20.308
symmetriccipher.rs,0.000,0.000,6.000,8.000
bcrypt_pbkdf.rs,18.247,0.912,20.000,0.800
simd.rs,0.844,0.422,2.015,1.244
fortuna.rs,9.856,0.821,12.000,0.168
aes_gcm.rs,7.664,0.590,13.002,1.130
cryptoutil.rs,19.938,0.767,26.120,5.846
blake2b.rs,18.778,0.695,27.126,6.018
curve25519.rs,34.571,0.603,58.000,0.852
sosemanuk.rs,24.667,1.114,26.000,0.462
chacha20.rs,11.377,0.758,15.017,2.556
aessafe.rs,12.919,0.807,16.001,0.934
lib.rs,0.000,0.021,0.000,0.000
hkdf.rs,4.447,0.889,5.000,0.200
blockmodes.rs,81.019,0.735,125.606,36.917
step_by.rs,0.824,0.412,2.001,0.533
chacha20poly1305.rs,20.178,2.522,8.000,0.094
ghash.rs,4.421,0.340,15.226,12.281
digest.rs,0.000,0.650,0.000,0.000
sha1.rs,5.288,0.881,6.000,0.424
pbkdf2.rs,35.044,1.058,40.669,11.963
hmac.rs,6.761,0.845,8.000,0.320
mac.rs,0.000,0.529,0.000,0.000
ripemd160.rs,3.753,0.751,5.000,0.185
sha2.rs,5.298,0.757,7.001,0.733
util.rs,1.290,0.645,2.000,0.195
blowfish.rs,15.382,0.905,17.001,0.967
aesni.rs,7.378,0.568,13.153,5.032
aes.rs,19.718,0.493,54.527,33.379
buffer.rs,0.000,0.471,0.000,0.000
sha3.rs,58.023,0.994,59.001,1.665
rc4.rs,1.705,0.426,4.044,2.250
bcrypt.rs,4.062,0.812,5.000,0.200
ed25519.rs,11.000,1.000,11.000,0.368
salsa20.rs,8.729,0.671,13.052,3.508
symmetriccipher.rs,0.000,0.077,0.000,0.000
md5.rs,6.486,0.721,9.000,0.400
scrypt.rs,44.915,1.017,51.579,12.364
whirlpool.rs,4.532,0.206,22.008,2.271
poly1305.rs,12.393,0.885,14.012,2.203
blake2s.rs,17.176,0.636,28.356,13.282
hc128.rs,13.154,0.692,20.336,11.757
AVG,13.265,0.704,18.827,4.805
MIN,0.000,0.000,0.000,0.000
MAX,81.019,2.522,125.606,36.917
