FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK
build.rs,3.862,0.483,14.292,14.769
symmetriccipher.rs,0.000,0.000,156.000,48.000
bcrypt_pbkdf.rs,16.422,0.912,18.000,0.720
simd.rs,15.200,0.422,40.878,22.400
fortuna.rs,39.424,0.821,48.000,0.671
aes_gcm.rs,22.402,0.590,38.015,3.304
cryptoutil.rs,58.279,0.767,77.026,17.089
blake2b.rs,44.510,0.695,64.709,14.264
curve25519.rs,81.062,0.596,136.001,1.998
sosemanuk.rs,73.052,1.114,77.001,1.369
chacha20.rs,32.613,0.758,43.143,7.327
aessafe.rs,93.660,0.807,116.042,6.774
lib.rs,0.021,0.021,1.000,0.040
hkdf.rs,8.005,0.889,9.000,0.360
blockmodes.rs,174.293,0.786,286.572,79.417
step_by.rs,3.706,0.412,9.024,2.400
chacha20poly1305.rs,58.011,2.522,23.000,0.269
ghash.rs,19.043,0.340,97.315,52.905
digest.rs,3.250,0.650,5.000,0.200
sha1.rs,39.657,0.881,45.011,3.176
pbkdf2.rs,44.681,1.058,52.087,15.252
hmac.rs,18.592,0.845,22.000,0.880
mac.rs,5.824,0.529,11.000,0.440
ripemd160.rs,19.515,0.751,26.001,0.960
sha2.rs,93.851,0.757,124.276,12.984
util.rs,3.871,0.645,6.001,0.585
blowfish.rs,33.479,0.905,37.004,2.106
aesni.rs,23.838,0.568,43.599,16.258
aes.rs,40.421,0.493,143.049,68.426
buffer.rs,36.725,0.471,291.476,102.143
sha3.rs,92.444,0.983,94.003,2.652
rc4.rs,11.938,0.426,30.180,15.750
bcrypt.rs,8.938,0.812,11.000,0.440
ed25519.rs,24.000,1.000,24.000,0.803
salsa20.rs,29.543,0.671,44.594,11.873
symmetriccipher.rs,1.308,0.077,112.895,47.077
md5.rs,29.547,0.721,41.002,1.822
scrypt.rs,62.528,1.017,72.122,17.212
whirlpool.rs,6.180,0.206,30.015,3.097
poly1305.rs,28.326,0.885,32.062,5.036
blake2s.rs,40.714,0.636,71.618,31.482
hc128.rs,29.769,0.692,49.845,26.608
AVG,35.060,0.705,63.687,15.746
MIN,0.000,0.000,1.000,0.040
MAX,174.293,2.522,291.476,102.143
