FILE,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FILE PATH
aes.rs,40.421,0.493,143.049,68.426,false,true,src/aes.rs
aes_gcm.rs,22.402,0.590,38.015,3.304,false,true,src/aes_gcm.rs
aesni.rs,23.838,0.568,43.599,16.258,false,true,src/aesni.rs
aessafe.rs,93.660,0.807,116.042,6.774,false,true,src/aessafe.rs
bcrypt.rs,8.938,0.812,11.000,0.000,false,false,src/bcrypt.rs
bcrypt_pbkdf.rs,16.422,0.912,18.000,0.000,false,false,src/bcrypt_pbkdf.rs
blake2b.rs,44.510,0.695,64.709,14.264,false,true,src/blake2b.rs
blake2s.rs,40.714,0.636,71.618,31.482,false,true,src/blake2s.rs
blockmodes.rs,174.293,0.786,286.572,79.417,false,true,src/blockmodes.rs
blowfish.rs,33.479,0.905,37.004,2.106,false,true,src/blowfish.rs
buffer.rs,36.725,0.471,291.476,102.143,false,true,src/buffer.rs
build.rs,3.862,0.483,14.292,14.769,false,false,build.rs
chacha20.rs,32.613,0.758,43.143,7.327,false,true,src/chacha20.rs
chacha20poly1305.rs,58.011,2.522,23.000,0.269,false,true,src/chacha20poly1305.rs
cryptoutil.rs,58.279,0.767,77.026,17.089,false,true,src/cryptoutil.rs
curve25519.rs,81.062,0.596,136.001,1.998,false,true,src/curve25519.rs
digest.rs,3.250,0.650,5.000,0.000,false,false,src/digest.rs
ed25519.rs,24.000,1.000,24.000,0.803,false,false,src/ed25519.rs
fortuna.rs,39.424,0.821,48.000,0.671,false,true,src/fortuna.rs
ghash.rs,19.043,0.340,97.315,52.905,false,true,src/ghash.rs
hc128.rs,29.769,0.692,49.845,26.608,false,true,src/hc128.rs
hkdf.rs,8.005,0.889,9.000,0.000,false,false,src/hkdf.rs
hmac.rs,18.592,0.845,22.000,0.000,false,false,src/hmac.rs
lib.rs,0.021,0.021,1.000,0.000,false,false,src/lib.rs
mac.rs,5.824,0.529,11.000,0.000,false,false,src/mac.rs
md5.rs,29.547,0.721,41.002,1.822,false,true,src/md5.rs
pbkdf2.rs,44.681,1.058,52.087,15.252,false,true,src/pbkdf2.rs
poly1305.rs,28.326,0.885,32.062,5.036,false,false,src/poly1305.rs
rc4.rs,11.938,0.426,30.180,15.750,false,false,src/rc4.rs
ripemd160.rs,19.515,0.751,26.001,0.960,false,false,src/ripemd160.rs
salsa20.rs,29.543,0.671,44.594,11.873,false,true,src/salsa20.rs
scrypt.rs,62.528,1.017,72.122,17.212,false,true,src/scrypt.rs
sha1.rs,39.657,0.881,45.011,3.176,false,true,src/sha1.rs
sha2.rs,93.851,0.757,124.276,12.984,false,true,src/sha2.rs
sha3.rs,92.444,0.983,94.003,2.652,false,true,src/sha3.rs
simd.rs,15.200,0.422,40.878,22.400,false,true,src/simd.rs
sosemanuk.rs,73.052,1.114,77.001,1.369,false,true,src/sosemanuk.rs
step_by.rs,3.706,0.412,9.024,2.400,false,false,src/step_by.rs
symmetriccipher.rs,0.000,0.000,156.000,48.000,false,true,examples/symmetriccipher.rs
symmetriccipher.rs,1.308,0.077,112.895,47.077,false,true,src/symmetriccipher.rs
util.rs,3.871,0.645,6.001,0.585,false,false,src/util.rs
whirlpool.rs,6.180,0.206,30.015,3.097,false,false,src/whirlpool.rs
PROJECT,69.096,0.822,2214.270,276.192,false,false,-
AVG,35.060,0.705,63.687,15.673,false,false,-
MAX,174.293,2.522,291.476,102.143,false,false,-
MIN,0.000,0.000,1.000,0.000,false,false,-
PROJECT_COVERAGE,96.640,-,-,-,-,-,-
LIST OF COMPLEX FILES,----------,----------,----------,----------,----------,----------,----------
blockmodes.rs,174.293,0.786,286.572,79.417,false,true,src/blockmodes.rs
sha2.rs,93.851,0.757,124.276,12.984,false,true,src/sha2.rs
aessafe.rs,93.660,0.807,116.042,6.774,false,true,src/aessafe.rs
sha3.rs,92.444,0.983,94.003,2.652,false,true,src/sha3.rs
curve25519.rs,81.062,0.596,136.001,1.998,false,true,src/curve25519.rs
sosemanuk.rs,73.052,1.114,77.001,1.369,false,true,src/sosemanuk.rs
scrypt.rs,62.528,1.017,72.122,17.212,false,true,src/scrypt.rs
cryptoutil.rs,58.279,0.767,77.026,17.089,false,true,src/cryptoutil.rs
chacha20poly1305.rs,58.011,2.522,23.000,0.269,false,true,src/chacha20poly1305.rs
pbkdf2.rs,44.681,1.058,52.087,15.252,false,true,src/pbkdf2.rs
blake2b.rs,44.510,0.695,64.709,14.264,false,true,src/blake2b.rs
blake2s.rs,40.714,0.636,71.618,31.482,false,true,src/blake2s.rs
aes.rs,40.421,0.493,143.049,68.426,false,true,src/aes.rs
sha1.rs,39.657,0.881,45.011,3.176,false,true,src/sha1.rs
fortuna.rs,39.424,0.821,48.000,0.671,false,true,src/fortuna.rs
buffer.rs,36.725,0.471,291.476,102.143,false,true,src/buffer.rs
blowfish.rs,33.479,0.905,37.004,2.106,false,true,src/blowfish.rs
chacha20.rs,32.613,0.758,43.143,7.327,false,true,src/chacha20.rs
hc128.rs,29.769,0.692,49.845,26.608,false,true,src/hc128.rs
