FUNCTION,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FUNCTION PATH
aes.rs,19.718,0.493,54.527,33.379,false,true,src/aes.rs
"ecb_encryptor (26, 53)",0.000,0.000,20.000,16.000,false,false,"/ecb_encryptor (26,53)"
"ecb_encryptor (57, 78)",0.000,0.000,2.000,4.000,false,false,"/ecb_encryptor (57,78)"
"ecb_decryptor (82, 109)",0.000,0.000,20.000,16.000,false,false,"/ecb_decryptor (82,109)"
"ecb_decryptor (113, 134)",0.000,0.000,2.000,4.000,false,false,"/ecb_decryptor (113,134)"
"cbc_encryptor (138, 166)",0.000,0.000,20.000,16.000,false,false,"/cbc_encryptor (138,166)"
"cbc_encryptor (170, 192)",0.000,0.000,2.000,4.000,false,false,"/cbc_encryptor (170,192)"
"cbc_decryptor (196, 224)",0.000,0.000,20.000,16.000,false,false,"/cbc_decryptor (196,224)"
"cbc_decryptor (228, 250)",0.000,0.000,2.000,4.000,false,false,"/cbc_decryptor (228,250)"
"ctr (254, 281)",1.286,0.321,6.333,8.421,false,false,"/ctr (254,281)"
"ctr (285, 306)",0.000,0.000,2.000,4.000,false,false,"/ctr (285,306)"
"tests128 (335, 368)",0.000,1.000,0.000,0.000,false,false,"/tests128 (335,368)"
"tests192 (370, 403)",0.000,1.000,0.000,0.000,false,false,"/tests192 (370,403)"
"tests256 (405, 440)",0.000,1.000,0.000,0.000,false,false,"/tests256 (405,440)"
"aes_ctr_tests (449, 463)",0.000,1.000,0.000,0.000,false,false,"/aes_ctr_tests (449,463)"
"run_test (465, 473)",0.889,0.889,1.000,0.000,false,false,"/run_test (465,473)"
"test_aesni_128 (477, 486)",2.700,0.900,3.009,1.200,false,false,"/test_aesni_128 (477,486)"
"test_aesni_192 (490, 499)",2.700,0.900,3.009,1.200,false,false,"/test_aesni_192 (490,499)"
"test_aesni_256 (503, 512)",2.700,0.900,3.009,1.200,false,false,"/test_aesni_256 (503,512)"
"test_aessafe_128 (515, 522)",1.000,1.000,1.000,0.000,false,false,"/test_aessafe_128 (515,522)"
"test_aessafe_192 (525, 532)",1.000,1.000,1.000,0.000,false,false,"/test_aessafe_192 (525,532)"
"test_aessafe_256 (535, 542)",1.000,1.000,1.000,0.000,false,false,"/test_aessafe_256 (535,542)"
"test_aessafe_128_x8 (547, 593)",0.000,1.022,0.000,0.000,false,false,"/test_aessafe_128_x8 (547,593)"
"test_aessafe_192_x8 (596, 642)",0.000,1.022,0.000,0.000,false,false,"/test_aessafe_192_x8 (596,642)"
"test_aessafe_256_x8 (645, 693)",0.000,1.021,0.000,0.000,false,false,"/test_aessafe_256_x8 (645,693)"
"aes_ctr_box (696, 705)",0.900,0.900,1.000,0.000,false,false,"/aes_ctr_box (696,705)"
"aesni_128_bench (722, 724)",0.000,0.000,0.000,0.000,false,false,"/aesni_128_bench (722,724)"
"aesni_192_bench (728, 730)",0.000,0.000,0.000,0.000,false,false,"/aesni_192_bench (728,730)"
"aesni_256_bench (734, 736)",0.000,0.000,0.000,0.000,false,false,"/aesni_256_bench (734,736)"
"aesni_bench (739, 754)",0.000,0.000,2.000,4.000,false,false,"/aesni_bench (739,754)"
"aes_safe_bench (757, 770)",0.000,0.000,0.000,0.000,false,false,"/aes_safe_bench (757,770)"
"aes_safe_x8_bench (773, 786)",0.000,0.000,0.000,0.000,false,false,"/aes_safe_x8_bench (773,786)"
"<anonymous> (781, 783)",0.000,0.000,0.000,0.000,false,false,"/aes_safe_x8_bench (773,786)/<anonymous> (781,783)"
"<anonymous> (765, 767)",0.000,0.000,0.000,0.000,false,false,"/aes_safe_bench (757,770)/<anonymous> (765,767)"
"<anonymous> (748, 750)",0.000,0.000,0.000,0.000,false,false,"/aesni_bench (739,754)/<anonymous> (748,750)"
aes_gcm.rs,7.664,0.590,13.002,1.130,false,false,src/aes_gcm.rs
"hex_to_bytes (93, 95)",0.000,1.000,0.000,0.000,false,false,"/hex_to_bytes (93,95)"
"get_test_vectors (105, 148)",0.000,1.000,0.000,0.000,false,false,"/get_test_vectors (105,148)"
"aes_gcm_test (150, 168)",2.812,0.938,3.002,0.750,false,false,"/aes_gcm_test (150,168)"
"aes_gcm_decrypt_test (171, 187)",2.600,0.867,3.003,0.857,false,false,"/aes_gcm_decrypt_test (171,187)"
"aes_gcm_decrypt_fail_test (189, 206)",2.471,0.824,3.003,0.800,false,false,"/aes_gcm_decrypt_fail_test (189,206)"
"gsm_10 (218, 233)",0.000,0.000,0.000,0.000,false,false,"/gsm_10 (218,233)"
"gsm_1k (237, 253)",0.000,0.000,0.000,0.000,false,false,"/gsm_1k (237,253)"
"gsm_64k (256, 273)",0.000,0.000,0.000,0.000,false,false,"/gsm_64k (256,273)"
"<anonymous> (259, 270)",0.000,0.000,0.000,0.000,false,false,"/gsm_64k (256,273)/<anonymous> (259,270)"
"<anonymous> (240, 250)",0.000,0.000,0.000,0.000,false,false,"/gsm_1k (237,253)/<anonymous> (240,250)"
"<anonymous> (221, 231)",0.000,0.000,0.000,0.000,false,false,"/gsm_10 (218,233)/<anonymous> (221,231)"
"decrypt (69, 83)",2.600,0.867,3.000,0.000,false,false,"/AesGcm<'static> (68,84)/decrypt (69,83)"
"encrypt (56, 65)",1.000,1.000,1.000,0.000,false,false,"/AesGcm<'static> (55,66)/encrypt (56,65)"
"new (22, 51)",0.000,1.000,0.000,0.000,false,false,"/AesGcm<'a> (21,53)/new (22,51)"
aesni.rs,7.378,0.568,13.153,5.032,false,false,src/aesni.rs
"size (94, 94)",0.000,1.000,0.000,0.000,false,false,"/size (94,94)"
"setup_working_key_aesni_128 (113, 127)",2.308,0.769,3.000,0.000,false,false,"/setup_working_key_aesni_128 (113,127)"
