FUNCTION,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FUNCTION PATH
aes.rs,40.421,0.493,143.049,68.426,false,true,src/aes.rs
"ecb_encryptor (26, 53)",0.000,0.000,30.000,20.000,false,false,"/ecb_encryptor (26,53)"
"ecb_encryptor (57, 78)",0.000,0.000,20.000,16.000,false,false,"/ecb_encryptor (57,78)"
"ecb_decryptor (82, 109)",0.000,0.000,30.000,20.000,false,false,"/ecb_decryptor (82,109)"
"ecb_decryptor (113, 134)",0.000,0.000,20.000,16.000,false,false,"/ecb_decryptor (113,134)"
"cbc_encryptor (138, 166)",0.000,0.000,30.000,20.000,false,false,"/cbc_encryptor (138,166)"
"cbc_encryptor (170, 192)",0.000,0.000,20.000,16.000,false,false,"/cbc_encryptor (170,192)"
"cbc_decryptor (196, 224)",0.000,0.000,30.000,20.000,false,false,"/cbc_decryptor (196,224)"
"cbc_decryptor (228, 250)",0.000,0.000,20.000,16.000,false,false,"/cbc_decryptor (228,250)"
"ctr (254, 281)",1.607,0.321,8.645,10.526,false,false,"/ctr (254,281)"
"ctr (285, 306)",0.000,0.000,20.000,16.000,false,false,"/ctr (285,306)"
"tests128 (335, 368)",1.000,1.000,1.000,0.000,false,false,"/tests128 (335,368)"
"tests192 (370, 403)",1.000,1.000,1.000,0.000,false,false,"/tests192 (370,403)"
"tests256 (405, 440)",1.000,1.000,1.000,0.000,false,false,"/tests256 (405,440)"
"aes_ctr_tests (449, 463)",1.000,1.000,1.000,0.000,false,false,"/aes_ctr_tests (449,463)"
"run_test (465, 473)",1.778,0.889,2.000,0.000,false,false,"/run_test (465,473)"
"test_aesni_128 (477, 486)",2.700,0.900,3.009,1.200,false,false,"/test_aesni_128 (477,486)"
"test_aesni_192 (490, 499)",2.700,0.900,3.009,1.200,false,false,"/test_aesni_192 (490,499)"
"test_aesni_256 (503, 512)",2.700,0.900,3.009,1.200,false,false,"/test_aesni_256 (503,512)"
"test_aessafe_128 (515, 522)",2.000,1.000,2.000,0.000,false,false,"/test_aessafe_128 (515,522)"
"test_aessafe_192 (525, 532)",2.000,1.000,2.000,0.000,false,false,"/test_aessafe_192 (525,532)"
"test_aessafe_256 (535, 542)",2.000,1.000,2.000,0.000,false,false,"/test_aessafe_256 (535,542)"
"test_aessafe_128_x8 (547, 593)",1.022,1.022,1.000,0.000,false,false,"/test_aessafe_128_x8 (547,593)"
"test_aessafe_192_x8 (596, 642)",1.022,1.022,1.000,0.000,false,false,"/test_aessafe_192_x8 (596,642)"
"test_aessafe_256_x8 (645, 693)",1.021,1.021,1.000,0.000,false,false,"/test_aessafe_256_x8 (645,693)"
"aes_ctr_box (696, 705)",1.800,0.900,2.000,0.000,false,false,"/aes_ctr_box (696,705)"
"aesni_128_bench (722, 724)",0.000,0.000,2.000,4.000,false,false,"/aesni_128_bench (722,724)"
"aesni_192_bench (728, 730)",0.000,0.000,2.000,4.000,false,false,"/aesni_192_bench (728,730)"
"aesni_256_bench (734, 736)",0.000,0.000,2.000,4.000,false,false,"/aesni_256_bench (734,736)"
"aesni_bench (739, 754)",0.000,0.000,12.000,12.000,false,false,"/aesni_bench (739,754)"
"aes_safe_bench (757, 770)",0.000,0.000,6.000,8.000,false,false,"/aes_safe_bench (757,770)"
"aes_safe_x8_bench (773, 786)",0.000,0.000,6.000,8.000,false,false,"/aes_safe_x8_bench (773,786)"
"<anonymous> (781, 783)",0.000,0.000,2.000,4.000,false,false,"/aes_safe_x8_bench (773,786)/<anonymous> (781,783)"
"<anonymous> (765, 767)",0.000,0.000,2.000,4.000,false,false,"/aes_safe_bench (757,770)/<anonymous> (765,767)"
"<anonymous> (748, 750)",0.000,0.000,2.000,4.000,false,false,"/aesni_bench (739,754)/<anonymous> (748,750)"
aes_gcm.rs,22.402,0.590,38.015,3.304,false,true,src/aes_gcm.rs
"hex_to_bytes (93, 95)",1.000,1.000,1.000,0.000,false,false,"/hex_to_bytes (93,95)"
"get_test_vectors (105, 148)",1.000,1.000,1.000,0.000,false,false,"/get_test_vectors (105,148)"
"aes_gcm_test (150, 168)",5.625,0.938,6.009,1.500,false,false,"/aes_gcm_test (150,168)"
