FUNCTION,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FUNCTION PATH
app.rs,66.540,0.792,100.916,44.970,false,true,src/app.rs
"app_new_only_test (406, 415)",0.000,1.111,0.000,0.000,false,false,"/app_new_only_test (406,415)"
"multiple_app_test (418, 482)",5.803,0.967,6.004,1.161,false,false,"/multiple_app_test (418,482)"
"single_app_test (485, 530)",5.442,0.907,6.013,1.714,false,false,"/single_app_test (485,530)"
"flag_only_app_test (533, 577)",5.429,0.905,6.014,1.756,false,false,"/flag_only_app_test (533,577)"
"single_app_equal_notation_test (580, 622)",5.400,0.900,6.016,1.846,false,false,"/single_app_equal_notation_test (580,622)"
"<anonymous> (581, 595)",3.600,0.600,6.562,6.000,false,false,"/single_app_equal_notation_test (580,622)/<anonymous> (581,595)"
"<anonymous> (534, 548)",3.600,0.600,6.562,6.000,false,false,"/flag_only_app_test (533,577)/<anonymous> (534,548)"
"<anonymous> (486, 500)",3.600,0.600,6.562,6.000,false,false,"/single_app_test (485,530)/<anonymous> (486,500)"
"<anonymous> (419, 433)",3.600,0.600,6.562,6.000,false,false,"/multiple_app_test (418,482)/<anonymous> (419,433)"
"help_text (373, 398)",4.211,1.053,4.000,0.000,false,false,"/App (372,399)/help_text (373,398)"
"new (34, 39)",0.000,1.000,0.000,0.000,false,false,"/App (24,370)/new (34,39)"
"author (51, 54)",0.000,1.000,0.000,0.000,false,false,"/App (24,370)/author (51,54)"
"description (66, 69)",0.000,1.000,0.000,0.000,false,false,"/App (24,370)/description (66,69)"
"usage (81, 84)",0.000,1.000,0.000,0.000,false,false,"/App (24,370)/usage (81,84)"
"version (96, 99)",0.000,1.000,0.000,0.000,false,false,"/App (24,370)/version (96,99)"
"command (135, 148)",2.000,0.500,5.573,7.385,false,false,"/App (24,370)/command (135,148)"
"action (161, 164)",0.000,1.000,0.000,0.000,false,false,"/App (24,370)/action (161,164)"
"flag (177, 184)",1.750,0.875,2.000,0.000,false,false,"/App (24,370)/flag (177,184)"
"run (198, 230)",5.806,0.645,9.375,6.000,false,false,"/App (24,370)/run (198,230)"
"select_command (234, 242)",3.889,0.778,5.049,2.500,false,false,"/App (24,370)/select_command (234,242)"
"normalized_args (247, 258)",4.000,1.000,4.000,0.000,false,false,"/App (24,370)/normalized_args (247,258)"
"flag_help_text (260, 327)",15.254,0.847,18.399,7.714,false,false,"/App (24,370)/flag_help_text (260,327)"
"command_help_text (329, 369)",2.400,0.171,114.352,44.800,false,true,"/App (24,370)/command_help_text (329,369)"
"<anonymous> (337, 343)",0.000,0.000,20.000,16.000,false,false,"/App (24,370)/command_help_text (329,369)/<anonymous> (337,343)"
"<anonymous> (270, 293)",8.182,0.818,10.000,0.000,false,false,"/App (24,370)/flag_help_text (260,327)/<anonymous> (270,293)"
"<anonymous> (297, 297)",0.000,1.000,0.000,0.000,false,false,"/App (24,370)/flag_help_text (260,327)/<anonymous> (297,297)"
"<anonymous> (274, 274)",0.000,1.000,0.000,0.000,false,false,"/App (24,370)/flag_help_text (260,327)/<anonymous> (270,293)/<anonymous> (274,274)"
"<anonymous> (248, 257)",4.000,1.000,4.000,0.000,false,false,"/App (24,370)/normalized_args (247,258)/<anonymous> (248,257)"
"<anonymous> (251, 251)",0.000,1.000,0.000,0.000,false,false,"/App (24,370)/normalized_args (247,258)/<anonymous> (248,257)/<anonymous> (251,251)"
"<anonymous> (236, 239)",3.000,0.750,4.250,4.000,false,false,"/App (24,370)/select_command (234,242)/<anonymous> (236,239)"
"<anonymous> (237, 237)",0.000,1.000,0.000,0.000,false,false,"/App (24,370)/select_command (234,242)/<anonymous> (236,239)/<anonymous> (237,237)"
"<anonymous> (139, 139)",0.000,0.000,0.000,0.000,false,false,"/App (24,370)/command (135,148)/<anonymous> (139,139)"
command.rs,19.500,0.722,29.687,16.683,false,false,src/command.rs
