FUNCTION,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FUNCTION PATH
app.rs,79.215,0.792,123.974,53.535,false,true,src/app.rs
"app_new_only_test (406, 415)",1.111,1.111,1.000,0.000,false,false,"/app_new_only_test (406,415)"
"multiple_app_test (418, 482)",7.738,0.967,8.007,1.548,false,false,"/multiple_app_test (418,482)"
"single_app_test (485, 530)",7.256,0.907,8.023,2.286,false,false,"/single_app_test (485,530)"
"flag_only_app_test (533, 577)",7.238,0.905,8.025,2.341,false,false,"/flag_only_app_test (533,577)"
"single_app_equal_notation_test (580, 622)",7.200,0.900,8.029,2.462,false,false,"/single_app_equal_notation_test (580,622)"
"<anonymous> (581, 595)",4.200,0.600,7.766,7.000,false,false,"/single_app_equal_notation_test (580,622)/<anonymous> (581,595)"
"<anonymous> (534, 548)",4.200,0.600,7.766,7.000,false,false,"/flag_only_app_test (533,577)/<anonymous> (534,548)"
"<anonymous> (486, 500)",4.200,0.600,7.766,7.000,false,false,"/single_app_test (485,530)/<anonymous> (486,500)"
"<anonymous> (419, 433)",4.200,0.600,7.766,7.000,false,false,"/multiple_app_test (418,482)/<anonymous> (419,433)"
"help_text (373, 398)",5.263,1.053,5.000,0.000,false,false,"/App (372,399)/help_text (373,398)"
"new (34, 39)",1.000,1.000,1.000,0.000,false,false,"/App (24,370)/new (34,39)"
"author (51, 54)",1.000,1.000,1.000,0.000,false,false,"/App (24,370)/author (51,54)"
"description (66, 69)",1.000,1.000,1.000,0.000,false,false,"/App (24,370)/description (66,69)"
"usage (81, 84)",1.000,1.000,1.000,0.000,false,false,"/App (24,370)/usage (81,84)"
"version (96, 99)",1.000,1.000,1.000,0.000,false,false,"/App (24,370)/version (96,99)"
"command (135, 148)",2.000,0.500,5.573,7.385,false,false,"/App (24,370)/command (135,148)"
"action (161, 164)",1.000,1.000,1.000,0.000,false,false,"/App (24,370)/action (161,164)"
"flag (177, 184)",1.750,0.875,2.000,0.000,false,false,"/App (24,370)/flag (177,184)"
"run (198, 230)",7.097,0.645,11.560,7.333,false,false,"/App (24,370)/run (198,230)"
"select_command (234, 242)",6.222,0.778,8.125,4.000,false,false,"/App (24,370)/select_command (234,242)"
"normalized_args (247, 258)",5.000,1.000,5.000,0.000,false,false,"/App (24,370)/normalized_args (247,258)"
"flag_help_text (260, 327)",11.864,0.847,14.241,6.000,false,false,"/App (24,370)/flag_help_text (260,327)"
"command_help_text (329, 369)",1.371,0.171,40.768,25.600,false,true,"/App (24,370)/command_help_text (329,369)"
"<anonymous> (337, 343)",0.000,0.000,6.000,8.000,false,false,"/App (24,370)/command_help_text (329,369)/<anonymous> (337,343)"
"<anonymous> (270, 293)",7.364,0.818,9.000,0.000,false,false,"/App (24,370)/flag_help_text (260,327)/<anonymous> (270,293)"
"<anonymous> (297, 297)",1.000,1.000,1.000,0.000,false,false,"/App (24,370)/flag_help_text (260,327)/<anonymous> (297,297)"
"<anonymous> (274, 274)",1.000,1.000,1.000,0.000,false,false,"/App (24,370)/flag_help_text (260,327)/<anonymous> (270,293)/<anonymous> (274,274)"
"<anonymous> (248, 257)",4.000,1.000,4.000,0.000,false,false,"/App (24,370)/normalized_args (247,258)/<anonymous> (248,257)"
"<anonymous> (251, 251)",1.000,1.000,1.000,0.000,false,false,"/App (24,370)/normalized_args (247,258)/<anonymous> (248,257)/<anonymous> (251,251)"
"<anonymous> (236, 239)",3.750,0.750,5.391,5.000,false,false,"/App (24,370)/select_command (234,242)/<anonymous> (236,239)"
"<anonymous> (237, 237)",1.000,1.000,1.000,0.000,false,false,"/App (24,370)/select_command (234,242)/<anonymous> (236,239)/<anonymous> (237,237)"
"<anonymous> (139, 139)",0.000,0.000,2.000,4.000,false,false,"/App (24,370)/command (135,148)/<anonymous> (139,139)"
command.rs,26.000,0.722,40.777,22.244,false,true,src/command.rs
"command_test (228, 239)",2.182,1.091,2.000,0.000,false,false,"/command_test (228,239)"
"<anonymous> (229, 229)",1.000,1.000,1.000,0.000,false,false,"/command_test (228,239)/<anonymous> (229,229)"
"help_text (206, 220)",3.273,1.091,3.000,0.000,false,false,"/Command (205,221)/help_text (206,220)"
"new (30, 35)",1.000,1.000,1.000,0.000,false,false,"/Command (20,203)/new (30,35)"
"description (47, 50)",1.000,1.000,1.000,0.000,false,false,"/Command (20,203)/description (47,50)"
"usage (62, 65)",1.000,1.000,1.000,0.000,false,false,"/Command (20,203)/usage (62,65)"
"action (78, 81)",1.000,1.000,1.000,0.000,false,false,"/Command (20,203)/action (78,81)"
"flag (94, 101)",1.750,0.875,2.000,0.000,false,false,"/Command (20,203)/flag (94,101)"
"alias (113, 120)",1.500,0.750,2.012,1.143,false,false,"/Command (20,203)/alias (113,120)"
