FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK
build.rs,4.263,0.711,6.430,5.486
debug.rs,0.000,0.960,0.000,0.000
lexical.rs,0.000,0.024,0.000,0.000
stream.rs,0.000,0.825,0.000,0.000
issue845.rs,0.000,0.532,0.000,0.000
issue520.rs,0.625,0.625,1.000,0.040
issue795.rs,1.667,0.833,2.001,0.558
algorithm.rs,1.949,0.975,2.000,0.080
math.rs,2.873,0.958,3.000,0.075
num.rs,0.000,1.070,0.000,0.000
parse.rs,0.000,1.236,0.000,0.000
exponent.rs,0.000,1.000,0.000,0.000
rounding.rs,0.000,1.012,0.000,0.000
float.rs,3.445,1.148,3.000,0.120
test.rs,21.762,0.907,24.007,2.222
map.rs,0.000,1.265,0.000,0.000
regression.rs,0.000,0.333,0.000,0.000
compiletest.rs,0.000,0.857,0.000,0.000
ser.rs,25.185,0.450,134.416,65.502
lib.rs,0.000,0.010,0.000,0.000
error.rs,9.101,0.414,34.909,26.293
de.rs,116.130,0.537,314.166,107.403
partial_eq.rs,0.000,0.494,0.000,0.000
ser.rs,5.083,0.339,21.758,18.651
mod.rs,12.790,0.457,91.945,48.571
from.rs,0.000,0.030,0.000,0.000
de.rs,32.673,0.480,281.948,97.649
index.rs,0.688,0.086,47.492,27.243
algorithm.rs,19.250,0.875,22.076,4.757
math.rs,27.878,0.473,387.761,107.474
num.rs,3.235,0.324,10.019,2.286
parse.rs,6.125,0.875,7.000,0.280
bhcomp.rs,20.061,1.115,18.000,0.490
digit.rs,0.000,0.625,0.000,0.000
exponent.rs,4.000,0.667,6.004,1.143
shift.rs,1.333,0.667,2.000,0.080
cached_float80.rs,0.000,0.016,0.000,0.000
rounding.rs,20.992,1.105,19.000,0.551
errors.rs,5.362,0.894,6.000,0.558
float.rs,8.211,0.821,10.000,0.400
cached.rs,0.000,0.400,0.000,0.000
bignum.rs,0.000,0.478,0.000,0.000
iter.rs,0.549,0.549,1.000,0.040
read.rs,40.991,0.533,138.588,65.802
map.rs,1.043,0.149,29.020,21.447
number.rs,7.436,0.240,64.607,40.550
AVG,8.798,0.639,36.721,14.038
MIN,0.000,0.010,0.000,0.000
MAX,116.130,1.265,387.761,107.474
