FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK
build.rs,10.658,0.711,17.687,13.714
debug.rs,9.600,0.960,10.000,0.400
lexical.rs,0.024,0.024,1.000,0.040
stream.rs,9.902,0.825,12.000,0.480
issue845.rs,4.790,0.532,9.797,7.714
issue520.rs,1.875,0.625,3.000,0.120
issue795.rs,10.833,0.833,13.057,3.628
algorithm.rs,5.848,0.975,6.000,0.240
math.rs,16.279,0.958,17.000,0.428
num.rs,9.632,1.070,9.000,0.360
parse.rs,6.178,1.236,5.000,0.200
exponent.rs,3.000,1.000,3.000,0.120
rounding.rs,11.136,1.012,11.000,0.440
float.rs,20.670,1.148,18.000,0.720
test.rs,145.985,0.907,161.321,14.906
map.rs,6.324,1.265,5.000,0.200
regression.rs,0.333,0.333,1.000,0.040
compiletest.rs,1.714,0.857,2.000,0.080
ser.rs,170.901,0.450,3990.740,444.481
lib.rs,0.021,0.010,2.000,0.080
error.rs,36.817,0.493,300.269,106.366
de.rs,251.952,0.569,895.172,233.017
partial_eq.rs,16.291,0.494,35.581,17.600
ser.rs,71.839,0.339,1561.884,263.595
mod.rs,47.049,0.457,968.293,178.673
from.rs,1.273,0.030,1482.889,157.043
de.rs,136.459,0.480,4015.882,407.826
index.rs,5.328,0.086,2433.974,211.135
algorithm.rs,19.250,0.875,22.076,4.757
math.rs,52.448,0.473,1274.650,202.197
num.rs,14.235,0.324,44.361,10.057
parse.rs,8.750,0.875,10.000,0.400
bhcomp.rs,28.977,1.115,26.000,0.707
digit.rs,2.500,0.625,4.000,0.160
exponent.rs,4.667,0.667,7.005,1.333
shift.rs,3.333,0.667,5.000,0.200
cached_float80.rs,0.033,0.016,2.000,0.080
rounding.rs,27.621,1.105,25.000,0.725
errors.rs,10.723,0.894,12.002,1.116
float.rs,13.958,0.821,17.000,0.680
cached.rs,4.800,0.400,12.000,0.480
bignum.rs,3.826,0.478,8.037,2.667
iter.rs,7.137,0.549,13.000,0.520
read.rs,93.627,0.533,464.923,150.297
map.rs,17.574,0.149,6375.170,361.532
number.rs,32.622,0.240,782.811,177.896
AVG,29.539,0.641,545.578,64.771
MIN,0.021,0.010,1.000,0.040
MAX,251.952,1.265,6375.170,444.481
