FILE,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FILE PATH
algorithm.rs,1.949,0.975,2.000,0.000,false,false,tests/lexical/algorithm.rs
algorithm.rs,19.250,0.875,22.076,4.757,false,false,src/lexical/algorithm.rs
bhcomp.rs,20.061,1.115,18.000,0.490,false,false,src/lexical/bhcomp.rs
bignum.rs,0.000,0.478,0.000,0.000,false,false,src/lexical/bignum.rs
build.rs,4.263,0.711,6.430,5.486,false,false,build.rs
cached.rs,0.000,0.400,0.000,0.000,false,false,src/lexical/cached.rs
cached_float80.rs,0.000,0.016,0.000,0.000,false,false,src/lexical/cached_float80.rs
compiletest.rs,0.000,0.857,0.000,0.000,false,false,tests/compiletest.rs
de.rs,32.673,0.480,281.948,97.649,false,true,src/value/de.rs
de.rs,116.130,0.537,314.166,107.403,false,true,src/de.rs
debug.rs,0.000,0.960,0.000,0.000,false,false,tests/debug.rs
digit.rs,0.000,0.625,0.000,0.000,false,false,src/lexical/digit.rs
error.rs,9.101,0.414,34.909,26.293,false,false,src/error.rs
errors.rs,5.362,0.894,6.000,0.558,false,false,src/lexical/errors.rs
exponent.rs,0.000,1.000,0.000,0.000,false,false,tests/lexical/exponent.rs
exponent.rs,4.000,0.667,6.004,1.143,false,false,src/lexical/exponent.rs
float.rs,3.445,1.148,3.000,0.000,false,false,tests/lexical/float.rs
float.rs,8.211,0.821,10.000,0.000,false,false,src/lexical/float.rs
from.rs,0.000,0.030,0.000,0.000,false,false,src/value/from.rs
index.rs,0.688,0.086,47.492,27.243,false,true,src/value/index.rs
issue520.rs,0.625,0.625,1.000,0.000,false,false,tests/regression/issue520.rs
issue795.rs,1.667,0.833,2.001,0.558,false,false,tests/regression/issue795.rs
issue845.rs,0.000,0.532,0.000,0.000,false,false,tests/regression/issue845.rs
iter.rs,0.549,0.549,1.000,0.000,false,false,src/iter.rs
lexical.rs,0.000,0.024,0.000,0.000,false,false,tests/lexical.rs
lib.rs,0.000,0.010,0.000,0.000,false,false,src/lib.rs
map.rs,1.043,0.149,29.020,21.447,false,false,src/map.rs
map.rs,0.000,1.265,0.000,0.000,false,false,tests/map.rs
math.rs,2.873,0.958,3.000,0.075,false,false,tests/lexical/math.rs
math.rs,27.878,0.473,387.761,107.474,false,true,src/lexical/math.rs
mod.rs,12.790,0.457,91.945,48.571,false,true,src/value/mod.rs
num.rs,0.000,1.070,0.000,0.000,false,false,tests/lexical/num.rs
num.rs,3.235,0.324,10.019,2.286,false,false,src/lexical/num.rs
number.rs,7.436,0.240,64.607,40.550,false,true,src/number.rs
parse.rs,0.000,1.236,0.000,0.000,false,false,tests/lexical/parse.rs
parse.rs,6.125,0.875,7.000,0.000,false,false,src/lexical/parse.rs
partial_eq.rs,0.000,0.494,0.000,0.000,false,false,src/value/partial_eq.rs
read.rs,40.991,0.533,138.588,65.802,false,true,src/read.rs
regression.rs,0.000,0.333,0.000,0.000,false,false,tests/regression.rs
rounding.rs,0.000,1.012,0.000,0.000,false,false,tests/lexical/rounding.rs
rounding.rs,20.992,1.105,19.000,0.551,false,false,src/lexical/rounding.rs
ser.rs,5.083,0.339,21.758,18.651,false,false,src/value/ser.rs
ser.rs,25.185,0.450,134.416,65.502,false,true,src/ser.rs
shift.rs,1.333,0.667,2.000,0.000,false,false,src/lexical/shift.rs
stream.rs,0.000,0.825,0.000,0.000,false,false,tests/stream.rs
test.rs,21.762,0.907,24.007,2.222,false,false,tests/test.rs
PROJECT,30.513,0.574,4645.268,572.639,false,false,-
AVG,8.798,0.639,36.721,14.015,false,false,-
MAX,116.130,1.265,387.761,107.474,false,false,-
MIN,0.000,0.010,0.000,0.000,false,false,-
PROJECT_COVERAGE,81.010,-,-,-,-,-,-
LIST OF COMPLEX FILES,----------,----------,----------,----------,----------,----------,----------
de.rs,116.130,0.537,314.166,107.403,false,true,src/de.rs
read.rs,40.991,0.533,138.588,65.802,false,true,src/read.rs
de.rs,32.673,0.480,281.948,97.649,false,true,src/value/de.rs
math.rs,27.878,0.473,387.761,107.474,false,true,src/lexical/math.rs
ser.rs,25.185,0.450,134.416,65.502,false,true,src/ser.rs
mod.rs,12.790,0.457,91.945,48.571,false,true,src/value/mod.rs
number.rs,7.436,0.240,64.607,40.550,false,true,src/number.rs
index.rs,0.688,0.086,47.492,27.243,false,true,src/value/index.rs
TOTAL COMPLEX FILES,8,,,,,,
LIST OF IGNORED FILES,----------,----------,----------,----------,----------,----------,----------
../json/fuzz/fuzz_targets/from_slice.rs,0.000,0.000,0.000,0.000,true,-,-
../json/src/features_check/error.rs,0.000,0.000,0.000,0.000,true,-,-
../json/src/features_check/mod.rs,0.000,0.000,0.000,0.000,true,-,-
../json/src/io/core.rs,0.000,0.000,0.000,0.000,true,-,-
../json/src/io/mod.rs,0.000,0.000,0.000,0.000,true,-,-
../json/src/lexical/large_powers.rs,0.000,0.000,0.000,0.000,true,-,-
../json/src/lexical/large_powers32.rs,0.000,0.000,0.000,0.000,true,-,-
../json/src/lexical/large_powers64.rs,0.000,0.000,0.000,0.000,true,-,-
../json/src/lexical/mod.rs,0.000,0.000,0.000,0.000,true,-,-
../json/src/lexical/small_powers.rs,0.000,0.000,0.000,0.000,true,-,-
../json/src/macros.rs,0.000,0.000,0.000,0.000,true,-,-
../json/src/raw.rs,0.000,0.000,0.000,0.000,true,-,-
../json/target/debug/build/rustversion-db9706c26f7e7e95/out/version.rs,0.000,0.000,0.000,0.000,true,-,-
../json/target/tests/serde_json/main.rs,0.000,0.000,0.000,0.000,true,-,-
../json/target/tests/target/debug/build/rustversion-db9706c26f7e7e95/out/version.rs,0.000,0.000,0.000,0.000,true,-,-
../json/tests/crate/test.rs,0.000,0.000,0.000,0.000,true,-,-
../json/tests/macros/mod.rs,0.000,0.000,0.000,0.000,true,-,-
../json/tests/ui/missing_colon.rs,0.000,0.000,0.000,0.000,true,-,-
../json/tests/ui/missing_comma.rs,0.000,0.000,0.000,0.000,true,-,-
../json/tests/ui/missing_value.rs,0.000,0.000,0.000,0.000,true,-,-
../json/tests/ui/not_found.rs,0.000,0.000,0.000,0.000,true,-,-
../json/tests/ui/parse_expr.rs,0.000,0.000,0.000,0.000,true,-,-
../json/tests/ui/parse_key.rs,0.000,0.000,0.000,0.000,true,-,-
../json/tests/ui/unexpected_after_array_element.rs,0.000,0.000,0.000,0.000,true,-,-
../json/tests/ui/unexpected_after_map_entry.rs,0.000,0.000,0.000,0.000,true,-,-
../json/tests/ui/unexpected_colon.rs,0.000,0.000,0.000,0.000,true,-,-
../json/tests/ui/unexpected_comma.rs,0.000,0.000,0.000,0.000,true,-,-
TOTAL FILES IGNORED,27,,,,,,
