FILE,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FILE PATH
algorithm.rs,5.848,0.975,6.000,0.000,false,false,tests/lexical/algorithm.rs
algorithm.rs,19.250,0.875,22.076,4.757,false,false,src/lexical/algorithm.rs
bhcomp.rs,28.977,1.115,26.000,0.707,false,false,src/lexical/bhcomp.rs
bignum.rs,3.826,0.478,8.037,2.667,false,false,src/lexical/bignum.rs
build.rs,10.658,0.711,17.687,13.714,false,false,build.rs
cached.rs,4.800,0.400,12.000,0.000,false,false,src/lexical/cached.rs
cached_float80.rs,0.033,0.016,2.000,0.000,false,false,src/lexical/cached_float80.rs
compiletest.rs,1.714,0.857,2.000,0.000,false,false,tests/compiletest.rs
de.rs,136.459,0.480,4015.882,407.826,false,true,src/value/de.rs
de.rs,251.952,0.569,895.172,233.017,false,true,src/de.rs
debug.rs,9.600,0.960,10.000,0.000,false,false,tests/debug.rs
digit.rs,2.500,0.625,4.000,0.000,false,false,src/lexical/digit.rs
error.rs,36.817,0.493,300.269,106.366,false,true,src/error.rs
errors.rs,10.723,0.894,12.002,1.116,false,false,src/lexical/errors.rs
exponent.rs,3.000,1.000,3.000,0.000,false,false,tests/lexical/exponent.rs
exponent.rs,4.667,0.667,7.005,1.333,false,false,src/lexical/exponent.rs
float.rs,20.670,1.148,18.000,0.000,false,false,tests/lexical/float.rs
float.rs,13.958,0.821,17.000,0.000,false,false,src/lexical/float.rs
from.rs,1.273,0.030,1482.889,157.043,false,true,src/value/from.rs
index.rs,5.328,0.086,2433.974,211.135,false,true,src/value/index.rs
issue520.rs,1.875,0.625,3.000,0.000,false,false,tests/regression/issue520.rs
issue795.rs,10.833,0.833,13.057,3.628,false,false,tests/regression/issue795.rs
issue845.rs,4.790,0.532,9.797,7.714,false,false,tests/regression/issue845.rs
iter.rs,7.137,0.549,13.000,0.000,false,false,src/iter.rs
lexical.rs,0.024,0.024,1.000,0.000,false,false,tests/lexical.rs
lib.rs,0.021,0.010,2.000,0.000,false,false,src/lib.rs
map.rs,17.574,0.149,6375.170,361.532,false,true,src/map.rs
map.rs,6.324,1.265,5.000,0.000,false,false,tests/map.rs
math.rs,16.279,0.958,17.000,0.428,false,false,tests/lexical/math.rs
math.rs,52.448,0.473,1274.650,202.197,false,true,src/lexical/math.rs
mod.rs,47.049,0.457,968.293,178.673,false,true,src/value/mod.rs
num.rs,9.632,1.070,9.000,0.000,false,false,tests/lexical/num.rs
num.rs,14.235,0.324,44.361,10.057,false,true,src/lexical/num.rs
number.rs,32.622,0.240,782.811,177.896,false,true,src/number.rs
parse.rs,6.178,1.236,5.000,0.000,false,false,tests/lexical/parse.rs
parse.rs,8.750,0.875,10.000,0.000,false,false,src/lexical/parse.rs
partial_eq.rs,16.291,0.494,35.581,17.600,false,true,src/value/partial_eq.rs
