FUNCTION,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FUNCTION PATH
algorithm.rs,1.949,0.975,2.000,0.000,false,false,tests/lexical/algorithm.rs
"float_fast_path_test (7, 35)",1.000,1.000,1.000,0.000,false,false,"/float_fast_path_test (7,35)"
"double_fast_path_test (38, 60)",1.000,1.000,1.000,0.000,false,false,"/double_fast_path_test (38,60)"
"moderate_path_test (63, 110)",0.000,1.000,0.000,0.000,false,false,"/moderate_path_test (63,110)"
algorithm.rs,19.250,0.875,22.076,4.757,false,false,src/lexical/algorithm.rs
"fast_path (18, 68)",9.375,0.938,10.000,0.000,false,false,"/fast_path (18,68)"
"multiply_exponent_extended (78, 138)",7.773,0.864,9.127,4.186,false,false,"/multiply_exponent_extended (78,138)"
"moderate_path (145, 159)",0.000,1.000,0.000,0.000,false,false,"/moderate_path (145,159)"
"fallback_path (168, 193)",3.000,1.000,3.001,0.522,false,false,"/fallback_path (168,193)"
bhcomp.rs,20.061,1.115,18.000,0.490,false,false,src/lexical/bhcomp.rs
"parse_mantissa (22, 74)",7.194,1.028,7.000,0.000,false,false,"/parse_mantissa (22,74)"
"b_extended (80, 82)",0.000,1.000,0.000,0.000,false,false,"/b_extended (80,82)"
"bh_extended (86, 93)",0.000,1.143,0.000,0.000,false,false,"/bh_extended (86,93)"
"round_nearest_tie_even (99, 106)",2.000,1.000,2.000,0.000,false,false,"/round_nearest_tie_even (99,106)"
"large_atof (111, 130)",0.000,1.538,0.000,0.000,false,true,"/large_atof (111,130)"
"small_atof (135, 188)",8.000,1.600,5.000,0.408,false,true,"/small_atof (135,188)"
"bhcomp (193, 218)",3.826,0.957,4.000,0.000,false,false,"/bhcomp (193,218)"
"<anonymous> (202, 202)",0.000,1.000,0.000,0.000,false,false,"/bhcomp (193,218)/<anonymous> (202,202)"
"<anonymous> (128, 128)",0.000,1.000,0.000,0.000,false,false,"/large_atof (111,130)/<anonymous> (128,128)"
bignum.rs,0.000,0.478,0.000,0.000,false,false,src/lexical/bignum.rs
"data (25, 27)",0.000,1.000,0.000,0.000,false,false,"/Bigint (23,33)/data (25,27)"
"data_mut (30, 32)",0.000,1.000,0.000,0.000,false,false,"/Bigint (23,33)/data_mut (30,32)"
"default (16, 20)",0.000,1.000,0.000,0.000,false,false,"/Bigint (15,21)/default (16,20)"
build.rs,4.263,0.711,6.430,5.486,false,false,build.rs
"main (5, 40)",3.542,0.708,5.620,5.833,false,false,"/main (5,40)"
"rustc_minor_version (42, 52)",0.909,0.909,1.001,0.364,false,false,"/rustc_minor_version (42,52)"
cached.rs,0.000,0.400,0.000,0.000,false,false,src/lexical/cached.rs
"get_powers (79, 81)",0.000,1.000,0.000,0.000,false,false,"/ExtendedFloat (77,82)/get_powers (79,81)"
"get_small (54, 56)",0.000,1.000,0.000,0.000,false,false,"/ModeratePathPowers (52,67)/get_small (54,56)"
"get_large (59, 61)",0.000,1.000,0.000,0.000,false,false,"/ModeratePathPowers (52,67)/get_large (59,61)"
"get_small_int (64, 66)",0.000,1.000,0.000,0.000,false,false,"/ModeratePathPowers (52,67)/get_small_int (64,66)"
"get_extended_float (22, 26)",0.000,1.000,0.000,0.000,false,false,"/ExtendedFloatArray (20,32)/get_extended_float (22,26)"
"len (29, 31)",0.000,1.000,0.000,0.000,false,false,"/ExtendedFloatArray (20,32)/len (29,31)"
cached_float80.rs,0.000,0.016,0.000,0.000,false,false,src/lexical/cached_float80.rs
"get_powers (204, 206)",0.000,1.000,0.000,0.000,false,false,"/get_powers (204,206)"
