FUNCTION,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FUNCTION PATH
algorithm.rs,5.848,0.975,6.000,0.000,false,false,tests/lexical/algorithm.rs
"float_fast_path_test (7, 35)",2.000,1.000,2.000,0.000,false,false,"/float_fast_path_test (7,35)"
"double_fast_path_test (38, 60)",2.000,1.000,2.000,0.000,false,false,"/double_fast_path_test (38,60)"
"moderate_path_test (63, 110)",1.000,1.000,1.000,0.000,false,false,"/moderate_path_test (63,110)"
algorithm.rs,19.250,0.875,22.076,4.757,false,false,src/lexical/algorithm.rs
"fast_path (18, 68)",9.375,0.938,10.000,0.000,false,false,"/fast_path (18,68)"
"multiply_exponent_extended (78, 138)",6.045,0.864,7.077,3.256,false,false,"/multiply_exponent_extended (78,138)"
"moderate_path (145, 159)",1.000,1.000,1.000,0.000,false,false,"/moderate_path (145,159)"
"fallback_path (168, 193)",3.000,1.000,3.001,0.522,false,false,"/fallback_path (168,193)"
bhcomp.rs,28.977,1.115,26.000,0.707,false,false,src/lexical/bhcomp.rs
"parse_mantissa (22, 74)",6.167,1.028,6.000,0.000,false,false,"/parse_mantissa (22,74)"
"b_extended (80, 82)",1.000,1.000,1.000,0.000,false,false,"/b_extended (80,82)"
"bh_extended (86, 93)",1.143,1.143,1.000,0.000,false,false,"/bh_extended (86,93)"
"round_nearest_tie_even (99, 106)",3.000,1.000,3.000,0.000,false,false,"/round_nearest_tie_even (99,106)"
"large_atof (111, 130)",3.077,1.538,2.000,0.000,false,true,"/large_atof (111,130)"
"small_atof (135, 188)",12.800,1.600,8.001,0.653,false,true,"/small_atof (135,188)"
"bhcomp (193, 218)",3.826,0.957,4.000,0.000,false,false,"/bhcomp (193,218)"
"<anonymous> (202, 202)",1.000,1.000,1.000,0.000,false,false,"/bhcomp (193,218)/<anonymous> (202,202)"
"<anonymous> (128, 128)",1.000,1.000,1.000,0.000,false,false,"/large_atof (111,130)/<anonymous> (128,128)"
bignum.rs,3.826,0.478,8.037,2.667,false,false,src/lexical/bignum.rs
"data (25, 27)",1.000,1.000,1.000,0.000,false,false,"/Bigint (23,33)/data (25,27)"
"data_mut (30, 32)",1.000,1.000,1.000,0.000,false,false,"/Bigint (23,33)/data_mut (30,32)"
"default (16, 20)",1.000,1.000,1.000,0.000,false,false,"/Bigint (15,21)/default (16,20)"
build.rs,10.658,0.711,17.687,13.714,false,false,build.rs
"main (5, 40)",5.667,0.708,9.588,9.333,false,false,"/main (5,40)"
"rustc_minor_version (42, 52)",5.455,0.909,6.027,2.182,false,false,"/rustc_minor_version (42,52)"
cached.rs,4.800,0.400,12.000,0.000,false,false,src/lexical/cached.rs
"get_powers (79, 81)",1.000,1.000,1.000,0.000,false,false,"/ExtendedFloat (77,82)/get_powers (79,81)"
"get_small (54, 56)",1.000,1.000,1.000,0.000,false,false,"/ModeratePathPowers (52,67)/get_small (54,56)"
"get_large (59, 61)",1.000,1.000,1.000,0.000,false,false,"/ModeratePathPowers (52,67)/get_large (59,61)"
"get_small_int (64, 66)",1.000,1.000,1.000,0.000,false,false,"/ModeratePathPowers (52,67)/get_small_int (64,66)"
"get_extended_float (22, 26)",1.000,1.000,1.000,0.000,false,false,"/ExtendedFloatArray (20,32)/get_extended_float (22,26)"
"len (29, 31)",1.000,1.000,1.000,0.000,false,false,"/ExtendedFloatArray (20,32)/len (29,31)"
cached_float80.rs,0.033,0.016,2.000,0.000,false,false,src/lexical/cached_float80.rs
"get_powers (204, 206)",1.000,1.000,1.000,0.000,false,false,"/get_powers (204,206)"
compiletest.rs,1.714,0.857,2.000,0.000,false,false,tests/compiletest.rs
"ui (4, 7)",1.000,1.000,1.000,0.000,false,false,"/ui (4,7)"
de.rs,136.459,0.480,4015.882,407.826,false,true,src/value/de.rs
"visit_array (172, 188)",1.294,0.647,2.076,2.133,false,false,"/visit_array (172,188)"
"visit_object (190, 206)",1.765,0.882,2.000,0.000,false,false,"/visit_object (190,206)"
"visit_array_ref (670, 686)",1.294,0.647,2.076,2.133,false,false,"/visit_array_ref (670,686)"
"visit_object_ref (688, 704)",1.294,0.647,2.076,2.133,false,false,"/visit_object_ref (688,704)"
"unit_variant (1349, 1351)",0.000,0.000,2.000,4.000,false,false,"/UnitOnly (1346,1386)/unit_variant (1349,1351)"
"newtype_variant_seed (1353, 1361)",0.000,0.000,2.000,4.000,false,false,"/UnitOnly (1346,1386)/newtype_variant_seed (1353,1361)"
"tuple_variant (1363, 1371)",0.000,0.000,2.000,4.000,false,false,"/UnitOnly (1346,1386)/tuple_variant (1363,1371)"
"struct_variant (1373, 1385)",0.000,0.000,2.000,4.000,false,false,"/UnitOnly (1346,1386)/struct_variant (1373,1385)"
"variant_seed (1335, 1341)",0.000,0.000,6.000,8.000,false,false,"/BorrowedCowStrDeserializer<'de> (1331,1342)/variant_seed (1335,1341)"
"deserialize_any (1301, 1310)",2.400,0.800,3.000,0.000,false,false,"/BorrowedCowStrDeserializer<'de> (1298,1329)/deserialize_any (1301,1310)"
"deserialize_enum (1312, 1322)",0.000,0.000,2.000,4.000,false,false,"/BorrowedCowStrDeserializer<'de> (1298,1329)/deserialize_enum (1312,1322)"
"new (1293, 1295)",1.000,1.000,1.000,0.000,false,false,"/BorrowedCowStrDeserializer<'de> (1292,1296)/new (1293,1295)"
"invalid_type (1268, 1273)",0.000,0.000,2.000,4.000,false,false,"/Value (1266,1286)/invalid_type (1268,1273)"
"unexpected (1276, 1285)",0.000,0.000,56.000,28.000,false,true,"/Value (1266,1286)/unexpected (1276,1285)"
"expecting (1234, 1236)",0.000,0.000,2.000,4.000,false,false,"/KeyClassifier (1231,1264)/expecting (1234,1236)"
"visit_str (1238, 1249)",4.000,1.000,4.000,0.000,false,false,"/KeyClassifier (1231,1264)/visit_str (1238,1249)"
"visit_string (1252, 1263)",4.000,1.000,4.000,0.000,false,false,"/KeyClassifier (1231,1264)/visit_string (1252,1263)"
"deserialize (1223, 1228)",1.000,1.000,1.000,0.000,false,false,"/KeyClassifier (1220,1229)/deserialize (1223,1228)"
"deserialize_any (1148, 1153)",1.000,1.000,1.000,0.000,false,false,"/MapKeyDeserializer<'de> (1145,1208)/deserialize_any (1148,1153)"
"deserialize_option (1170, 1176)",0.000,0.000,2.000,4.000,false,false,"/MapKeyDeserializer<'de> (1145,1208)/deserialize_option (1170,1176)"
"deserialize_newtype_struct (1179, 1188)",1.000,1.000,1.000,0.000,false,false,"/MapKeyDeserializer<'de> (1145,1208)/deserialize_newtype_struct (1179,1188)"
"deserialize_enum (1190, 1202)",1.000,1.000,1.000,0.000,false,false,"/MapKeyDeserializer<'de> (1145,1208)/deserialize_enum (1190,1202)"
"next_key_seed (1091, 1105)",2.600,0.867,3.000,0.000,false,false,"/MapRefDeserializer<'de> (1088,1123)/next_key_seed (1091,1105)"
"next_value_seed (1107, 1115)",2.333,0.778,3.018,1.500,false,false,"/MapRefDeserializer<'de> (1088,1123)/next_value_seed (1107,1115)"
"size_hint (1117, 1122)",0.000,0.000,20.000,16.000,false,false,"/MapRefDeserializer<'de> (1088,1123)/size_hint (1117,1122)"
"new (1080, 1085)",1.000,1.000,1.000,0.000,false,false,"/MapRefDeserializer<'de> (1079,1086)/new (1080,1085)"
"next_element_seed (1056, 1064)",2.667,0.889,3.000,0.000,false,false,"/SeqRefDeserializer<'de> (1053,1072)/next_element_seed (1056,1064)"
"size_hint (1066, 1071)",2.000,0.500,4.250,4.000,false,false,"/SeqRefDeserializer<'de> (1053,1072)/size_hint (1066,1071)"
"new (1048, 1050)",1.000,1.000,1.000,0.000,false,false,"/SeqRefDeserializer<'de> (1047,1051)/new (1048,1050)"
"unit_variant (978, 983)",2.000,0.667,3.072,2.400,false,false,"/VariantRefDeserializer<'de> (975,1041)/unit_variant (978,983)"
"newtype_variant_seed (985, 996)",1.750,0.583,3.433,4.364,false,false,"/VariantRefDeserializer<'de> (975,1041)/newtype_variant_seed (985,996)"
"tuple_variant (998, 1019)",1.136,0.227,11.642,12.857,false,false,"/VariantRefDeserializer<'de> (975,1041)/tuple_variant (998,1019)"
"struct_variant (1021, 1040)",0.600,0.150,10.155,11.636,false,false,"/VariantRefDeserializer<'de> (975,1041)/struct_variant (1021,1040)"
"variant_seed (961, 968)",2.000,1.000,2.000,0.000,false,false,"/EnumRefDeserializer<'de> (957,969)/variant_seed (961,968)"
"<anonymous> (967, 967)",1.000,1.000,1.000,0.000,false,false,"/EnumRefDeserializer<'de> (957,969)/variant_seed (961,968)/<anonymous> (967,967)"
"deserialize_any (709, 721)",3.769,0.538,10.545,11.667,false,false,"/&'de Value (706,950)/deserialize_any (709,721)"
"deserialize_option (739, 747)",2.667,0.889,3.000,0.000,false,false,"/&'de Value (706,950)/deserialize_option (739,747)"
"deserialize_enum (749, 789)",3.590,0.513,9.996,11.030,false,false,"/&'de Value (706,950)/deserialize_enum (749,789)"
"deserialize_newtype_struct (792, 811)",0.000,0.000,6.000,8.000,false,false,"/&'de Value (706,950)/deserialize_newtype_struct (792,811)"
"deserialize_bool (813, 821)",2.333,0.778,3.018,1.500,false,false,"/&'de Value (706,950)/deserialize_bool (813,821)"
"deserialize_char (823, 828)",1.000,1.000,1.000,0.000,false,false,"/&'de Value (706,950)/deserialize_char (823,828)"
"deserialize_str (830, 838)",2.333,0.778,3.018,1.500,false,false,"/&'de Value (706,950)/deserialize_str (830,838)"
"deserialize_string (840, 845)",1.000,1.000,1.000,0.000,false,false,"/&'de Value (706,950)/deserialize_string (840,845)"
"deserialize_bytes (847, 856)",0.000,0.000,20.000,16.000,false,false,"/&'de Value (706,950)/deserialize_bytes (847,856)"
"deserialize_byte_buf (858, 863)",0.000,0.000,2.000,4.000,false,false,"/&'de Value (706,950)/deserialize_byte_buf (858,863)"
"deserialize_unit (865, 873)",2.333,0.778,3.018,1.500,false,false,"/&'de Value (706,950)/deserialize_unit (865,873)"
"deserialize_unit_struct (875, 880)",0.000,0.000,2.000,4.000,false,false,"/&'de Value (706,950)/deserialize_unit_struct (875,880)"
"deserialize_seq (882, 890)",2.333,0.778,3.018,1.500,false,false,"/&'de Value (706,950)/deserialize_seq (882,890)"
"deserialize_tuple (892, 897)",1.000,1.000,1.000,0.000,false,false,"/&'de Value (706,950)/deserialize_tuple (892,897)"
"deserialize_tuple_struct (899, 909)",0.000,0.000,2.000,4.000,false,false,"/&'de Value (706,950)/deserialize_tuple_struct (899,909)"
"deserialize_map (911, 919)",2.333,0.778,3.018,1.500,false,false,"/&'de Value (706,950)/deserialize_map (911,919)"
"deserialize_struct (921, 935)",3.467,0.867,4.006,1.143,false,false,"/&'de Value (706,950)/deserialize_struct (921,935)"
"deserialize_identifier (937, 942)",0.000,0.000,2.000,4.000,false,false,"/&'de Value (706,950)/deserialize_identifier (937,942)"
"deserialize_ignored_any (944, 949)",0.000,0.000,2.000,4.000,false,false,"/&'de Value (706,950)/deserialize_ignored_any (944,949)"
"next_key_seed (610, 624)",2.600,0.867,3.000,0.000,false,false,"/MapDeserializer (607,642)/next_key_seed (610,624)"
"next_value_seed (626, 634)",2.333,0.778,3.018,1.500,false,false,"/MapDeserializer (607,642)/next_value_seed (626,634)"
"size_hint (636, 641)",0.000,0.000,20.000,16.000,false,false,"/MapDeserializer (607,642)/size_hint (636,641)"
"new (599, 604)",1.000,1.000,1.000,0.000,false,false,"/MapDeserializer (598,605)/new (599,604)"
"next_element_seed (575, 583)",2.667,0.889,3.000,0.000,false,false,"/SeqDeserializer (572,591)/next_element_seed (575,583)"
"size_hint (585, 590)",2.000,0.500,4.250,4.000,false,false,"/SeqDeserializer (572,591)/size_hint (585,590)"
"new (565, 569)",1.000,1.000,1.000,0.000,false,false,"/SeqDeserializer (564,570)/new (565,569)"
"unit_variant (495, 500)",2.000,0.667,3.072,2.400,false,false,"/VariantDeserializer (492,558)/unit_variant (495,500)"
"newtype_variant_seed (502, 513)",1.750,0.583,3.433,4.364,false,false,"/VariantDeserializer (492,558)/newtype_variant_seed (502,513)"
"tuple_variant (515, 536)",1.136,0.227,11.642,12.857,false,false,"/VariantDeserializer (492,558)/tuple_variant (515,536)"
"struct_variant (538, 557)",0.600,0.150,10.155,11.636,false,false,"/VariantDeserializer (492,558)/struct_variant (538,557)"
"into_deserializer (483, 485)",1.000,1.000,1.000,0.000,false,false,"/Value (480,486)/into_deserializer (483,485)"
"variant_seed (470, 477)",2.000,1.000,2.000,0.000,false,false,"/EnumDeserializer (466,478)/variant_seed (470,477)"
"<anonymous> (476, 476)",1.000,1.000,1.000,0.000,false,false,"/EnumDeserializer (466,478)/variant_seed (470,477)/<anonymous> (476,476)"
"deserialize_any (212, 225)",6.000,0.857,7.000,0.000,false,false,"/Value (208,459)/deserialize_any (212,225)"
"deserialize_option (244, 252)",2.667,0.889,3.000,0.000,false,false,"/Value (208,459)/deserialize_option (244,252)"
"deserialize_enum (255, 295)",3.590,0.513,9.996,11.030,false,false,"/Value (208,459)/deserialize_enum (255,295)"
"deserialize_newtype_struct (298, 317)",0.000,0.000,6.000,8.000,false,false,"/Value (208,459)/deserialize_newtype_struct (298,317)"
"deserialize_bool (319, 327)",2.333,0.778,3.018,1.500,false,false,"/Value (208,459)/deserialize_bool (319,327)"
"deserialize_char (329, 334)",1.000,1.000,1.000,0.000,false,false,"/Value (208,459)/deserialize_char (329,334)"
"deserialize_str (336, 341)",0.000,0.000,2.000,4.000,false,false,"/Value (208,459)/deserialize_str (336,341)"
"deserialize_string (343, 352)",2.100,0.700,3.018,1.500,false,false,"/Value (208,459)/deserialize_string (343,352)"
"deserialize_bytes (354, 359)",0.000,0.000,2.000,4.000,false,false,"/Value (208,459)/deserialize_bytes (354,359)"
"deserialize_byte_buf (361, 371)",0.000,0.000,20.000,16.000,false,false,"/Value (208,459)/deserialize_byte_buf (361,371)"
"deserialize_unit (373, 381)",2.333,0.778,3.018,1.500,false,false,"/Value (208,459)/deserialize_unit (373,381)"
"deserialize_unit_struct (383, 388)",0.000,0.000,2.000,4.000,false,false,"/Value (208,459)/deserialize_unit_struct (383,388)"
"deserialize_seq (390, 398)",2.333,0.778,3.018,1.500,false,false,"/Value (208,459)/deserialize_seq (390,398)"
"deserialize_tuple (400, 405)",1.000,1.000,1.000,0.000,false,false,"/Value (208,459)/deserialize_tuple (400,405)"
"deserialize_tuple_struct (407, 417)",0.000,0.000,2.000,4.000,false,false,"/Value (208,459)/deserialize_tuple_struct (407,417)"
"deserialize_map (419, 427)",2.333,0.778,3.018,1.500,false,false,"/Value (208,459)/deserialize_map (419,427)"
"deserialize_struct (429, 443)",3.467,0.867,4.006,1.143,false,false,"/Value (208,459)/deserialize_struct (429,443)"
"deserialize_identifier (445, 450)",1.000,1.000,1.000,0.000,false,false,"/Value (208,459)/deserialize_identifier (445,450)"
"deserialize_ignored_any (452, 458)",0.000,0.000,2.000,4.000,false,false,"/Value (208,459)/deserialize_ignored_any (452,458)"
"from_str (141, 143)",0.000,0.000,2.000,4.000,false,false,"/Value (139,144)/from_str (141,143)"
"deserialize (24, 136)",26.779,1.116,24.137,5.947,false,false,"/Value (22,137)/deserialize (24,136)"
"expecting (33, 35)",1.000,1.000,1.000,0.000,false,false,"/Value (22,137)/deserialize (24,136)/ValueVisitor (30,133)/expecting (33,35)"
"visit_bool (38, 40)",1.000,1.000,1.000,0.000,false,false,"/Value (22,137)/deserialize (24,136)/ValueVisitor (30,133)/visit_bool (38,40)"
"visit_i64 (43, 45)",1.000,1.000,1.000,0.000,false,false,"/Value (22,137)/deserialize (24,136)/ValueVisitor (30,133)/visit_i64 (43,45)"
"visit_u64 (48, 50)",1.000,1.000,1.000,0.000,false,false,"/Value (22,137)/deserialize (24,136)/ValueVisitor (30,133)/visit_u64 (48,50)"
"visit_f64 (53, 55)",1.000,1.000,1.000,0.000,false,false,"/Value (22,137)/deserialize (24,136)/ValueVisitor (30,133)/visit_f64 (53,55)"
"visit_str (59, 64)",1.000,1.000,1.000,0.000,false,false,"/Value (22,137)/deserialize (24,136)/ValueVisitor (30,133)/visit_str (59,64)"
