FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK
build.rs,3.040,0.760,4.014,1.524
ser.rs,98.442,0.849,116.196,11.339
lib.rs,0.000,0.171,0.000,0.000
dummy.rs,2.077,0.692,3.079,2.471
bound.rs,69.200,1.126,68.399,12.022
de.rs,247.981,1.105,259.308,17.227
attr.rs,208.966,0.892,2442.389,358.818
symbol.rs,0.000,0.098,0.000,0.000
mod.rs,0.000,0.273,0.000,0.000
receiver.rs,39.222,0.630,236.573,90.704
case.rs,14.599,0.635,23.840,10.733
ctxt.rs,1.050,0.350,4.125,6.000
check.rs,44.997,0.553,1623.562,217.542
respan.rs,0.857,0.857,1.000,0.040
ast.rs,13.250,0.875,21.009,2.312
fragment.rs,1.492,0.373,4.102,2.963
pretend.rs,7.156,0.795,9.025,2.423
try.rs,0.000,1.059,0.000,0.000
build.rs,4.200,0.600,7.538,6.222
ser.rs,8.540,0.610,14.281,6.313
lib.rs,0.000,0.029,0.000,0.000
assert.rs,7.229,0.723,10.292,5.714
token.rs,0.000,0.016,0.000,0.000
error.rs,0.000,0.361,0.000,0.000
de.rs,19.719,0.580,37.251,19.196
configure.rs,0.000,0.205,0.000,0.000
build.rs,1.429,1.429,1.000,0.040
lib.rs,0.000,0.026,0.000,0.000
build.rs,0.480,0.120,14.307,13.818
test_roundtrip.rs,0.000,0.895,0.000,0.000
test_ser.rs,0.000,0.914,0.000,0.000
test_serde_path.rs,0.000,0.690,0.000,0.000
mod.rs,0.000,0.043,0.000,0.000
test_remote.rs,0.000,0.007,0.000,0.000
mod.rs,0.000,0.816,0.000,0.000
expandtest.rs,0.000,0.125,0.000,0.000
test_annotations.rs,10.797,0.900,12.000,0.476
test_gen.rs,0.000,0.840,0.000,0.000
test_de.rs,3.939,0.985,4.000,0.016
test_ignored_any.rs,0.000,0.716,0.000,0.000
test_borrow.rs,1.949,0.975,2.002,0.582
test_de_error.rs,0.000,1.011,0.000,0.000
test_unstable.rs,0.000,0.333,0.000,0.000
test_value.rs,0.000,1.068,0.000,0.000
compiletest.rs,0.000,0.857,0.000,0.000
test_macros.rs,0.000,1.025,0.000,0.000
test_self.rs,0.000,1.053,0.000,0.000
test_identifier.rs,0.000,1.054,0.000,0.000
build.rs,14.071,0.906,70.112,41.870
lib.rs,0.000,0.006,0.000,0.000
utf8.rs,1.048,0.262,6.810,8.960
value.rs,4.571,0.169,232.808,70.849
format.rs,1.000,0.500,2.001,0.571
seed.rs,0.000,0.429,0.000,0.000
mod.rs,3.124,0.390,8.850,7.579
impls.rs,10.875,0.604,19.138,10.944
ignored_any.rs,0.000,0.667,0.000,0.000
fmt.rs,0.000,0.000,0.000,0.000
mod.rs,0.539,0.180,3.002,0.750
impls.rs,1.486,0.743,2.014,1.217
macros.rs,0.000,0.073,0.000,0.000
ser.rs,3.754,0.268,59.154,34.330
doc.rs,0.000,0.000,0.000,0.000
mod.rs,0.000,0.000,0.000,0.000
de.rs,51.330,0.458,856.335,174.739
size_hint.rs,0.667,0.667,1.000,0.308
AVG,13.683,0.567,93.644,17.282
MIN,0.000,0.000,0.000,0.000
MAX,247.981,1.429,2442.389,358.818
