FILE,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FILE PATH
assert.rs,7.229,0.723,10.292,5.714,false,false,serde_test/src/assert.rs
ast.rs,13.250,0.875,21.009,2.312,false,false,serde_derive/src/internals/ast.rs
attr.rs,208.966,0.892,2442.389,358.818,false,true,serde_derive/src/internals/attr.rs
bound.rs,69.200,1.126,68.399,12.022,false,true,serde_derive/src/bound.rs
build.rs,3.040,0.760,4.014,1.524,false,false,serde_derive/build.rs
build.rs,4.200,0.600,7.538,6.222,false,false,serde_test/build.rs
build.rs,1.429,1.429,1.000,0.000,false,false,serde_derive_internals/build.rs
build.rs,0.480,0.120,14.307,13.818,false,false,test_suite/build.rs
build.rs,14.071,0.906,70.112,41.870,false,true,serde/build.rs
case.rs,14.599,0.635,23.840,10.733,false,false,serde_derive/src/internals/case.rs
check.rs,44.997,0.553,1623.562,217.542,false,true,serde_derive/src/internals/check.rs
compiletest.rs,0.000,0.857,0.000,0.000,false,false,test_suite/tests/compiletest.rs
configure.rs,0.000,0.205,0.000,0.000,false,false,serde_test/src/configure.rs
ctxt.rs,1.050,0.350,4.125,6.000,false,false,serde_derive/src/internals/ctxt.rs
de.rs,19.719,0.580,37.251,19.196,false,true,serde_test/src/de.rs
de.rs,247.981,1.105,259.308,17.227,false,true,serde_derive/src/de.rs
de.rs,51.330,0.458,856.335,174.739,false,true,serde/src/private/de.rs
doc.rs,0.000,0.000,0.000,0.000,false,false,serde/src/private/doc.rs
dummy.rs,2.077,0.692,3.079,2.471,false,false,serde_derive/src/dummy.rs
error.rs,0.000,0.361,0.000,0.000,false,false,serde_test/src/error.rs
expandtest.rs,0.000,0.125,0.000,0.000,false,false,test_suite/tests/expandtest.rs
fmt.rs,0.000,0.000,0.000,0.000,false,false,serde/src/ser/fmt.rs
format.rs,1.000,0.500,2.001,0.571,false,false,serde/src/de/format.rs
fragment.rs,1.492,0.373,4.102,2.963,false,false,serde_derive/src/fragment.rs
ignored_any.rs,0.000,0.667,0.000,0.000,false,false,serde/src/de/ignored_any.rs
impls.rs,1.486,0.743,2.014,1.217,false,false,serde/src/ser/impls.rs
impls.rs,10.875,0.604,19.138,10.944,false,false,serde/src/de/impls.rs
lib.rs,0.000,0.026,0.000,0.000,false,false,serde_derive_internals/lib.rs
lib.rs,0.000,0.029,0.000,0.000,false,false,serde_test/src/lib.rs
lib.rs,0.000,0.171,0.000,0.000,false,false,serde_derive/src/lib.rs
lib.rs,0.000,0.006,0.000,0.000,false,false,serde/src/lib.rs
macros.rs,0.000,0.073,0.000,0.000,false,false,serde/src/macros.rs
mod.rs,0.000,0.043,0.000,0.000,false,false,test_suite/tests/macros/mod.rs
mod.rs,0.000,0.816,0.000,0.000,false,false,test_suite/tests/bytes/mod.rs
mod.rs,0.539,0.180,3.002,0.750,false,false,serde/src/ser/mod.rs
mod.rs,0.000,0.000,0.000,0.000,false,false,serde/src/private/mod.rs
mod.rs,3.124,0.390,8.850,7.579,false,false,serde/src/de/mod.rs
mod.rs,0.000,0.273,0.000,0.000,false,false,serde_derive/src/internals/mod.rs
pretend.rs,7.156,0.795,9.025,2.423,false,false,serde_derive/src/pretend.rs
receiver.rs,39.222,0.630,236.573,90.704,false,true,serde_derive/src/internals/receiver.rs
respan.rs,0.857,0.857,1.000,0.000,false,false,serde_derive/src/internals/respan.rs
seed.rs,0.000,0.429,0.000,0.000,false,false,serde/src/de/seed.rs
ser.rs,8.540,0.610,14.281,6.313,false,false,serde_test/src/ser.rs
ser.rs,98.442,0.849,116.196,11.339,false,true,serde_derive/src/ser.rs
ser.rs,3.754,0.268,59.154,34.330,false,true,serde/src/private/ser.rs
size_hint.rs,0.667,0.667,1.000,0.308,false,false,serde/src/private/size_hint.rs
symbol.rs,0.000,0.098,0.000,0.000,false,false,serde_derive/src/internals/symbol.rs
test_annotations.rs,10.797,0.900,12.000,0.476,false,false,test_suite/tests/test_annotations.rs
test_borrow.rs,1.949,0.975,2.002,0.582,false,false,test_suite/tests/test_borrow.rs
test_de.rs,3.939,0.985,4.000,0.016,false,false,test_suite/tests/test_de.rs
test_de_error.rs,0.000,1.011,0.000,0.000,false,false,test_suite/tests/test_de_error.rs
test_gen.rs,0.000,0.840,0.000,0.000,false,false,test_suite/tests/test_gen.rs
test_identifier.rs,0.000,1.054,0.000,0.000,false,false,test_suite/tests/test_identifier.rs
test_ignored_any.rs,0.000,0.716,0.000,0.000,false,false,test_suite/tests/test_ignored_any.rs
test_macros.rs,0.000,1.025,0.000,0.000,false,false,test_suite/tests/test_macros.rs
test_remote.rs,0.000,0.007,0.000,0.000,false,false,test_suite/tests/test_remote.rs
test_roundtrip.rs,0.000,0.895,0.000,0.000,false,false,test_suite/tests/test_roundtrip.rs
test_self.rs,0.000,1.053,0.000,0.000,false,false,test_suite/tests/test_self.rs
test_ser.rs,0.000,0.914,0.000,0.000,false,false,test_suite/tests/test_ser.rs
test_serde_path.rs,0.000,0.690,0.000,0.000,false,false,test_suite/tests/test_serde_path.rs
test_unstable.rs,0.000,0.333,0.000,0.000,false,false,test_suite/tests/test_unstable.rs
test_value.rs,0.000,1.068,0.000,0.000,false,false,test_suite/tests/test_value.rs
token.rs,0.000,0.016,0.000,0.000,false,false,serde_test/src/token.rs
try.rs,0.000,1.059,0.000,0.000,false,false,serde_derive/src/try.rs
utf8.rs,1.048,0.262,6.810,8.960,false,false,serde/src/de/utf8.rs
value.rs,4.571,0.169,232.808,70.849,false,true,serde/src/de/value.rs
PROJECT,47.690,0.716,8393.926,845.061,false,false,-
AVG,13.683,0.567,93.644,17.281,false,false,-
MAX,247.981,1.429,2442.389,358.818,false,false,-
MIN,0.000,0.000,0.000,0.000,false,false,-
PROJECT_COVERAGE,84.190,-,-,-,-,-,-
LIST OF COMPLEX FILES,----------,----------,----------,----------,----------,----------,----------
de.rs,247.981,1.105,259.308,17.227,false,true,serde_derive/src/de.rs
attr.rs,208.966,0.892,2442.389,358.818,false,true,serde_derive/src/internals/attr.rs
ser.rs,98.442,0.849,116.196,11.339,false,true,serde_derive/src/ser.rs
