FILE,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FILE PATH
assert.rs,16.627,0.723,24.542,13.143,false,false,serde_test/src/assert.rs
ast.rs,20.821,0.631,33.023,3.633,false,false,serde_derive/src/internals/ast.rs
attr.rs,290.365,0.892,4529.584,498.591,false,true,serde_derive/src/internals/attr.rs
bound.rs,83.447,1.126,82.581,14.497,false,true,serde_derive/src/bound.rs
build.rs,9.120,0.760,12.124,4.571,false,false,serde_derive/build.rs
build.rs,9.000,0.600,17.469,13.333,false,false,serde_test/build.rs
build.rs,4.286,1.429,3.000,0.000,false,false,serde_derive_internals/build.rs
build.rs,0.960,0.120,49.226,27.636,false,true,test_suite/build.rs
build.rs,21.106,0.906,138.253,62.805,false,true,serde/build.rs
case.rs,26.659,0.635,44.801,19.600,false,true,serde_derive/src/internals/case.rs
check.rs,39.903,0.425,1287.412,192.915,false,true,serde_derive/src/internals/check.rs
compiletest.rs,1.714,0.857,2.000,0.000,false,false,test_suite/tests/compiletest.rs
configure.rs,8.821,0.354,704.564,122.107,false,true,serde_test/src/configure.rs
ctxt.rs,4.550,0.350,34.125,26.000,false,false,serde_derive/src/internals/ctxt.rs
de.rs,92.795,0.698,231.989,90.335,false,true,serde_test/src/de.rs
de.rs,393.514,1.003,411.777,27.336,false,true,serde_derive/src/de.rs
de.rs,286.438,0.468,23803.881,975.104,false,true,serde/src/private/de.rs
doc.rs,0.000,0.000,110.000,40.000,false,true,serde/src/private/doc.rs
dummy.rs,4.154,0.692,6.314,4.941,false,false,serde_derive/src/dummy.rs
error.rs,5.778,0.361,26.976,22.400,false,false,serde_test/src/error.rs
expandtest.rs,0.250,0.125,4.048,6.400,false,false,test_suite/tests/expandtest.rs
fmt.rs,0.000,0.000,650.000,100.000,false,true,serde/src/ser/fmt.rs
format.rs,4.000,0.500,8.023,2.286,false,false,serde/src/de/format.rs
fragment.rs,8.576,0.373,26.359,17.037,false,false,serde_derive/src/fragment.rs
ignored_any.rs,15.333,0.667,24.254,12.267,false,false,serde/src/de/ignored_any.rs
impls.rs,44.593,0.743,72.671,36.507,false,true,serde/src/ser/impls.rs
impls.rs,148.620,1.034,458.542,149.573,false,true,serde/src/de/impls.rs
lib.rs,0.029,0.029,1.000,0.000,false,false,serde_test/src/lib.rs
lib.rs,0.026,0.026,1.000,0.000,false,false,serde_derive_internals/lib.rs
lib.rs,0.684,0.171,4.208,3.765,false,false,serde_derive/src/lib.rs
lib.rs,0.006,0.006,1.000,0.000,false,false,serde/src/lib.rs
macros.rs,0.073,0.073,1.000,0.000,false,false,serde/src/macros.rs
mod.rs,0.257,0.043,6.000,0.000,false,false,test_suite/tests/macros/mod.rs
mod.rs,9.796,0.816,12.049,3.349,false,false,test_suite/tests/bytes/mod.rs
mod.rs,7.904,0.180,44.473,11.000,false,true,serde/src/ser/mod.rs
mod.rs,0.000,0.000,12.000,12.000,false,false,serde/src/private/mod.rs
mod.rs,48.416,0.406,328.277,117.474,false,true,serde/src/de/mod.rs
mod.rs,0.818,0.273,3.026,1.714,false,false,serde_derive/src/internals/mod.rs
