FUNCTION,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FUNCTION PATH
assert.rs,7.229,0.723,10.292,5.714,false,false,serde_test/src/assert.rs
"assert_tokens (32, 38)",0.000,1.000,0.000,0.000,false,false,"/assert_tokens (32,38)"
"assert_ser_tokens (63, 76)",1.538,0.769,2.019,1.333,false,false,"/assert_ser_tokens (63,76)"
"assert_ser_tokens_error (116, 129)",1.538,0.769,2.019,1.333,false,false,"/assert_ser_tokens_error (116,129)"
"assert_de_tokens (154, 183)",3.231,0.808,4.066,2.560,false,false,"/assert_de_tokens (154,183)"
"assert_de_tokens_error (207, 223)",1.714,0.857,2.012,1.143,false,false,"/assert_de_tokens_error (207,223)"
ast.rs,13.250,0.875,21.009,2.312,false,false,serde_derive/src/internals/ast.rs
"enum_from_ast (138, 158)",0.000,1.000,0.000,0.000,false,false,"/enum_from_ast (138,158)"
"struct_from_ast (160, 181)",0.682,0.682,1.000,0.000,false,false,"/struct_from_ast (160,181)"
"fields_from_ast (183, 202)",1.900,0.950,2.000,0.000,false,false,"/fields_from_ast (183,202)"
"<anonymous> (192, 200)",1.778,0.889,2.000,0.000,false,false,"/fields_from_ast (183,202)/<anonymous> (192,200)"
"<anonymous> (145, 156)",0.000,1.000,0.000,0.000,false,false,"/enum_from_ast (138,158)/<anonymous> (145,156)"
"all_fields (124, 131)",0.750,0.750,1.000,0.000,false,false,"/Data<'a> (123,136)/all_fields (124,131)"
"has_getter (133, 135)",0.000,1.000,0.000,0.000,false,false,"/Data<'a> (123,136)/has_getter (133,135)"
"<anonymous> (134, 134)",0.000,1.000,0.000,0.000,false,false,"/Data<'a> (123,136)/has_getter (133,135)/<anonymous> (134,134)"
"<anonymous> (127, 127)",0.000,1.000,0.000,0.000,false,false,"/Data<'a> (123,136)/all_fields (124,131)/<anonymous> (127,127)"
"from_ast (63, 120)",13.222,1.556,17.027,3.091,false,true,"/Container<'a> (61,121)/from_ast (63,120)"
attr.rs,208.966,0.892,2442.389,358.818,false,true,serde_derive/src/internals/attr.rs
"unraw (145, 150)",0.000,2.000,0.000,0.000,false,true,"/unraw (145,150)"
"decide_tag (706, 786)",3.188,0.212,101.029,43.548,false,true,"/decide_tag (706,786)"
"decide_identifier (788, 842)",0.127,0.127,1.570,3.317,false,false,"/decide_identifier (788,842)"
"get_ser_and_de (1500, 1541)",5.684,0.632,10.266,9.000,false,false,"/get_ser_and_de (1500,1541)"
"get_renames (1543, 1549)",0.000,1.000,0.000,0.000,false,false,"/get_renames (1543,1549)"
"get_multiple_renames (1551, 1557)",0.000,1.000,0.000,0.000,false,false,"/get_multiple_renames (1551,1557)"
"get_where_predicates (1559, 1565)",0.000,1.000,0.000,0.000,false,false,"/get_where_predicates (1559,1565)"
"get_serde_meta_items (1567, 1583)",1.000,0.500,2.315,3.429,false,false,"/get_serde_meta_items (1567,1583)"
