FUNCTION,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FUNCTION PATH
assert.rs,16.627,0.723,24.542,13.143,false,false,serde_test/src/assert.rs
"assert_tokens (32, 38)",1.000,1.000,1.000,0.000,false,false,"/assert_tokens (32,38)"
"assert_ser_tokens (63, 76)",3.846,0.769,5.116,3.333,false,false,"/assert_ser_tokens (63,76)"
"assert_ser_tokens_error (116, 129)",3.846,0.769,5.116,3.333,false,false,"/assert_ser_tokens_error (116,129)"
"assert_de_tokens (154, 183)",5.654,0.808,7.201,4.480,false,false,"/assert_de_tokens (154,183)"
"assert_de_tokens_error (207, 223)",3.429,0.857,4.047,2.286,false,false,"/assert_de_tokens_error (207,223)"
ast.rs,20.821,0.631,33.023,3.633,false,false,serde_derive/src/internals/ast.rs
"enum_from_ast (138, 158)",2.000,1.000,2.000,0.000,false,false,"/enum_from_ast (138,158)"
"struct_from_ast (160, 181)",4.091,0.682,6.000,0.000,false,false,"/struct_from_ast (160,181)"
"fields_from_ast (183, 202)",3.800,0.950,4.000,0.000,false,false,"/fields_from_ast (183,202)"
"<anonymous> (192, 200)",2.667,0.889,3.000,0.000,false,false,"/fields_from_ast (183,202)/<anonymous> (192,200)"
"<anonymous> (145, 156)",1.000,1.000,1.000,0.000,false,false,"/enum_from_ast (138,158)/<anonymous> (145,156)"
"all_fields (124, 131)",3.000,0.750,4.000,0.000,false,false,"/Data<'a> (123,136)/all_fields (124,131)"
"has_getter (133, 135)",2.000,1.000,2.000,0.000,false,false,"/Data<'a> (123,136)/has_getter (133,135)"
"<anonymous> (134, 134)",1.000,1.000,1.000,0.000,false,false,"/Data<'a> (123,136)/has_getter (133,135)/<anonymous> (134,134)"
"<anonymous> (127, 127)",1.000,1.000,1.000,0.000,false,false,"/Data<'a> (123,136)/all_fields (124,131)/<anonymous> (127,127)"
"from_ast (63, 120)",9.333,0.778,12.014,2.182,false,false,"/Container<'a> (61,121)/from_ast (63,120)"
attr.rs,290.365,0.892,4529.584,498.591,false,true,serde_derive/src/internals/attr.rs
"unraw (145, 150)",2.000,2.000,1.000,0.000,false,true,"/unraw (145,150)"
"decide_tag (706, 786)",2.975,0.212,88.941,40.645,false,true,"/decide_tag (706,786)"
"decide_identifier (788, 842)",1.145,0.127,55.192,29.854,false,true,"/decide_identifier (788,842)"
"get_ser_and_de (1500, 1541)",5.684,0.632,10.266,9.000,false,false,"/get_ser_and_de (1500,1541)"
"get_renames (1543, 1549)",4.000,1.000,4.000,0.000,false,false,"/get_renames (1543,1549)"
"get_multiple_renames (1551, 1557)",3.000,1.000,3.000,0.000,false,false,"/get_multiple_renames (1551,1557)"
"get_where_predicates (1559, 1565)",4.000,1.000,4.000,0.000,false,false,"/get_where_predicates (1559,1565)"
"get_serde_meta_items (1567, 1583)",2.500,0.500,6.968,8.571,false,false,"/get_serde_meta_items (1567,1583)"
