FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED
version.rs,25.980,0.929,46.839,27.805,false
process.rs,9.670,0.420,50.426,34.305,false
lib.rs,2.515,0.066,1074.440,136.093,false
msg.rs,9.000,0.375,101.141,49.116,false
flat.rs,38.519,0.664,58.400,11.410,false
fixture.rs,63.101,1.317,70.063,6.562,false
lib.rs,7.093,0.443,16.000,0.640,false
change.rs,11.594,0.580,25.903,19.623,false
input.rs,88.221,0.700,136.813,44.343,false
build.rs,11.232,0.661,29.484,23.860,false
tidy.rs,84.571,0.837,344.634,116.345,false
testdir.rs,8.918,0.557,17.769,12.190,false
sourcegen.rs,16.746,0.761,22.186,6.400,false
main.rs,6.306,0.203,634.660,106.197,false
support.rs,66.440,0.798,138.426,65.125,false
global_state.rs,32.225,0.575,90.659,49.896,false
to_proto.rs,39.555,0.113,82281.773,1224.335,false
handlers.rs,11.683,0.024,229651.286,1938.897,false
semantic_tokens.rs,11.464,0.425,41.688,29.388,false
thread_pool.rs,8.395,0.763,11.000,0.440,false
from_proto.rs,16.204,0.324,468.853,110.256,false
rustc_wrapper.rs,0.000,0.000,90.000,36.000,false
logger.rs,0.000,0.000,930.000,120.000,false
main.rs,0.417,0.006,4595.670,270.098,false
line_index.rs,0.870,0.087,77.866,35.152,false
main_loop.rs,76.391,0.618,5398.370,396.574,false
mem_docs.rs,3.125,0.208,94.137,42.353,false
to_proto.rs,329.713,3.330,99.005,3.078,false
lib.rs,1.222,0.111,29.891,23.692,false
markdown.rs,29.560,1.095,27.000,1.080,false
op_queue.rs,8.108,0.676,12.177,5.143,false
cargo_target_spec.rs,8.801,0.180,1204.362,153.591,false
reload.rs,79.321,0.736,990.193,196.370,false
diff.rs,6.848,0.761,9.158,4.500,false
integrated_benchmarks.rs,0.629,0.063,93.462,37.661,false
config.rs,109.123,0.550,3094.396,361.303,false
cli.rs,0.000,0.000,110.000,40.000,false
lsp_ext.rs,0.958,0.018,1697.860,178.435,false
