FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED
version.rs,25.980,0.929,46.839,27.805,false
process.rs,0.000,0.000,552.000,92.000,false
lib.rs,0.550,0.015,1237.210,140.400,false
msg.rs,8.708,0.363,111.754,51.273,false
flat.rs,38.519,0.664,58.400,11.410,false
fixture.rs,58.330,1.330,66.059,6.304,false
lib.rs,7.093,0.443,16.000,0.640,false
change.rs,11.014,0.551,29.068,22.642,false
input.rs,84.424,0.670,155.795,62.167,false
build.rs,0.000,0.000,306.000,68.000,false
tidy.rs,84.883,0.840,337.313,115.167,false
testdir.rs,0.000,0.000,240.000,60.000,false
sourcegen.rs,16.746,0.761,22.186,6.400,false
main.rs,3.027,0.098,808.706,115.554,false
support.rs,7.142,0.078,6361.724,331.777,false
global_state.rs,0.000,0.000,3192.000,224.000,false
to_proto.rs,22.039,0.066,89847.807,1242.711,false
handlers.rs,0.000,0.000,239610.000,1956.000,false
semantic_tokens.rs,11.556,0.428,41.688,29.388,false
thread_pool.rs,0.000,0.000,132.000,44.000,false
from_proto.rs,4.846,0.115,1103.125,141.818,false
rustc_wrapper.rs,0.000,0.000,90.000,36.000,false
logger.rs,0.000,0.000,930.000,120.000,false
main.rs,0.417,0.006,4595.670,270.098,false
line_index.rs,0.000,0.000,110.000,40.000,false
main_loop.rs,0.000,0.000,32220.000,716.000,false
mem_docs.rs,0.000,0.000,240.000,60.000,false
to_proto.rs,329.713,3.330,99.005,3.078,false
lib.rs,0.204,0.019,106.170,40.615,false
markdown.rs,29.560,1.095,27.000,1.080,false
op_queue.rs,0.000,0.000,156.000,48.000,false
cargo_target_spec.rs,8.970,0.187,1112.220,148.417,false
reload.rs,12.459,0.093,13000.488,479.639,false
diff.rs,6.848,0.761,9.158,4.500,false
integrated_benchmarks.rs,0.637,0.064,93.278,37.633,false
config.rs,41.627,0.279,22539.423,700.633,false
cli.rs,0.000,0.000,110.000,40.000,false
lsp_ext.rs,0.248,0.005,2496.102,202.364,false
dispatch.rs,0.000,0.000,1892.000,172.000,false
diagnostics.rs,0.447,0.024,345.090,73.467,false
highlight.rs,0.000,0.000,20.000,16.000,false
flags.rs,0.000,0.000,156.000,48.000,false
parse.rs,0.000,0.000,30.000,20.000,false
lsif.rs,0.000,0.000,1806.000,168.000,false
symbols.rs,0.000,0.000,30.000,20.000,false
progress_report.rs,0.000,0.000,380.000,76.000,false
analysis_stats.rs,0.000,0.000,5852.000,304.000,false
load_cargo.rs,22.094,0.789,28.213,7.259,false
ssr.rs,0.000,0.000,650.000,100.000,false
diagnostics.rs,0.000,0.000,210.000,56.000,false
caps.rs,0.000,0.000,306.000,68.000,false
lsp_utils.rs,28.496,0.663,77.371,45.563,false
lib.rs,26.929,0.728,43.598,25.000,false
tests.rs,19.459,1.081,18.000,0.720,false
lib.rs,46.902,0.902,126.672,62.400,false
cfg_expr.rs,27.871,0.784,71.271,39.573,false
dnf.rs,90.151,0.798,121.772,39.882,false
anchored_path.rs,0.091,0.091,1.125,2.000,false
path_interner.rs,5.040,0.560,9.000,0.360,false
tests.rs,0.000,0.000,6.000,8.000,false
file_set.rs,27.036,0.659,41.613,11.714,false
tests.rs,0.000,0.000,30.000,20.000,false
lib.rs,14.388,0.480,49.113,33.231,false
vfs_path.rs,35.921,0.382,226.311,92.676,false
loader.rs,0.349,0.009,1345.612,145.791,false
lib.rs,28.075,0.493,282.097,93.643,false
build.rs,0.000,0.000,56.000,28.000,false
lib.rs,8.500,0.500,24.986,20.558,false
lib.rs,0.500,0.500,1.000,0.040,false
fixture.rs,49.664,1.150,112.947,57.356,false
lib.rs,48.889,0.556,416.032,122.704,false
assert_linear.rs,0.000,0.000,600.000,96.000,false
bench_fixture.rs,0.000,0.000,56.000,28.000,false
lib.rs,5.333,0.254,116.256,50.400,false
cli.rs,0.000,0.000,90.000,36.000,false
dylib.rs,21.543,0.414,97.584,53.333,false
mod.rs,11.797,1.475,8.000,0.320,false
utils.rs,9.281,1.031,9.000,0.360,false
client.rs,0.000,0.000,7140.000,336.000,false
handle.rs,0.000,0.000,306.000,68.000,false
mod.rs,0.000,0.000,2162.000,184.000,false
closure.rs,0.000,0.000,56.000,28.000,false
buffer.rs,0.000,0.000,2652.000,204.000,false
server.rs,0.000,0.000,1980.000,176.000,false
rpc.rs,0.000,0.000,10302.000,404.000,false
scoped_cell.rs,0.000,0.000,506.000,88.000,false
mod.rs,0.000,0.000,31506.000,708.000,false
diagnostic.rs,0.000,0.000,812.000,112.000,false
rustc_server.rs,49.741,0.273,9681.179,480.079,false
mod.rs,0.000,0.000,702.000,104.000,false
client.rs,6.097,0.145,4943.741,296.727,false
handle.rs,9.759,0.574,17.000,0.680,false
mod.rs,4.481,0.097,83.565,48.000,false
closure.rs,2.211,0.316,8.815,9.333,false
buffer.rs,27.143,0.714,41.204,19.826,false
server.rs,14.568,0.375,274.890,86.632,false
rpc.rs,33.799,0.335,699.108,156.950,false
scoped_cell.rs,0.000,0.000,506.000,88.000,false
mod.rs,0.000,0.000,43472.000,832.000,false
diagnostic.rs,0.000,0.000,812.000,112.000,false
quote.rs,0.000,0.000,210.000,56.000,false
rustc_server.rs,100.144,0.530,1667.801,261.527,false
mod.rs,18.286,0.703,26.138,6.118,false
