FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FILE PATH
active_parameter.rs,15.466,0.672,23.193,6.571,false,false,crates/ide_db/src/active_parameter.rs
add_explicit_type.rs,59.737,1.694,41.000,1.640,false,true,crates/ide_assists/src/handlers/add_explicit_type.rs
add_lifetime_to_type.rs,41.538,0.923,45.049,5.202,false,true,crates/ide_assists/src/handlers/add_lifetime_to_type.rs
add_missing_impl_members.rs,173.266,2.987,58.000,0.196,false,true,crates/ide_assists/src/handlers/add_missing_impl_members.rs
add_missing_match_arms.rs,251.988,1.984,127.002,2.690,false,true,crates/ide_assists/src/handlers/add_missing_match_arms.rs
add_reference_here.rs,21.538,1.795,12.000,0.480,false,true,crates/ide_diagnostics/src/handlers/add_reference_here.rs
add_return_type.rs,70.800,1.329,59.000,2.360,false,true,crates/ide_assists/src/handlers/add_return_type.rs
add_turbo_fish.rs,75.849,1.769,48.020,3.930,false,true,crates/ide_assists/src/handlers/add_turbo_fish.rs
adt.rs,41.297,1.007,41.037,4.587,false,true,crates/parser/src/grammar/items/adt.rs
adt.rs,50.694,0.676,81.723,31.837,false,true,crates/hir_def/src/adt.rs
algo.rs,44.754,0.714,2552.184,240.314,false,true,crates/syntax/src/algo.rs
analysis_stats.rs,0.000,0.000,5852.000,304.000,false,true,crates/rust-analyzer/src/cli/analysis_stats.rs
anchored_path.rs,0.091,0.091,1.125,2.000,false,false,crates/vfs/src/anchored_path.rs
annotations.rs,172.083,3.044,59.110,7.462,false,true,crates/ide/src/annotations.rs
apply_change.rs,1.523,0.169,56.503,30.133,false,true,crates/ide_db/src/apply_change.rs
apply_demorgan.rs,43.210,0.982,44.050,5.207,false,true,crates/ide_assists/src/handlers/apply_demorgan.rs
assert_linear.rs,0.000,0.000,600.000,96.000,false,true,crates/test_utils/src/assert_linear.rs
assist_config.rs,0.000,0.000,2.000,4.000,false,false,crates/ide_assists/src/assist_config.rs
assist_context.rs,47.687,0.782,61.000,2.440,false,true,crates/ide_assists/src/assist_context.rs
assists.rs,7.111,0.222,207.583,71.111,false,true,crates/ide_db/src/assists.rs
ast.rs,3.710,0.120,697.539,109.763,false,true,crates/syntax/src/ast.rs
ast_id_map.rs,32.042,0.641,50.187,8.421,false,true,crates/hir_expand/src/ast_id_map.rs
ast_src.rs,0.000,0.000,2.000,4.000,false,false,crates/syntax/src/tests/ast_src.rs
atom.rs,128.622,1.115,135.024,5.886,false,true,crates/parser/src/grammar/expressions/atom.rs
attr.rs,201.388,0.882,286.488,67.024,false,true,crates/hir_def/src/attr.rs
attr_resolution.rs,10.306,0.736,14.030,3.000,false,false,crates/hir_def/src/nameres/attr_resolution.rs
attribute.rs,113.547,2.271,50.000,2.000,false,true,crates/ide_completion/src/tests/attribute.rs
attribute.rs,32.583,0.706,64.668,21.958,false,true,crates/ide_completion/src/completions/attribute.rs
attributes.rs,14.302,0.953,15.003,1.429,false,false,crates/parser/src/grammar/attributes.rs
attrs.rs,20.148,0.556,212.797,80.830,false,true,crates/hir/src/attrs.rs
auto_import.rs,166.348,2.727,61.000,0.249,false,true,crates/ide_assists/src/handlers/auto_import.rs
autoderef.rs,35.074,0.779,45.420,10.651,false,true,crates/hir_ty/src/autoderef.rs
bench_fixture.rs,0.000,0.000,56.000,28.000,false,true,crates/test_utils/src/bench_fixture.rs
benchmark.rs,2.887,0.052,2712.900,211.957,false,true,crates/mbe/src/benchmark.rs
block.rs,3.429,0.429,10.915,11.429,false,false,crates/syntax/src/validation/block.rs
block.rs,45.982,3.284,14.000,0.560,false,true,crates/hir_def/src/body/tests/block.rs
body.rs,45.868,0.665,69.442,12.494,false,true,crates/hir_def/src/body.rs
break_outside_of_loop.rs,3.619,0.905,4.000,0.160,false,false,crates/ide_diagnostics/src/handlers/break_outside_of_loop.rs
buffer.rs,35.955,0.642,58.189,19.871,false,true,crates/tt/src/buffer.rs
buffer.rs,0.000,0.000,1482.000,152.000,false,true,crates/proc_macro_srv/src/abis/abi_1_56/proc_macro/bridge/buffer.rs
buffer.rs,27.143,0.714,41.204,19.826,false,true,crates/proc_macro_srv/src/abis/abi_1_58/proc_macro/bridge/buffer.rs
buffer.rs,0.000,0.000,2550.000,200.000,false,true,crates/proc_macro_srv/src/abis/abi_1_47/proc_macro/bridge/buffer.rs
buffer.rs,0.000,0.000,2652.000,204.000,false,true,crates/proc_macro_srv/src/abis/abi_1_54/proc_macro/bridge/buffer.rs
