FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FILE PATH
app.rs,74.316,0.962,93.092,30.609,false,true,src/app.rs
color.rs,0.000,0.000,306.000,68.000,false,true,src/color.rs
command.rs,9.935,0.710,14.016,2.435,false,false,src/command.rs
context.rs,24.316,0.737,33.468,9.962,false,false,src/context.rs
error.rs,0.531,0.031,257.941,64.000,false,true,src/error.rs
flag.rs,34.696,0.738,48.329,15.870,false,true,src/flag.rs
lib.rs,0.083,0.083,1.000,0.040,false,false,src/lib.rs
multiple_app.rs,0.000,0.000,552.000,92.000,false,true,examples/multiple_app.rs
single_app.rs,0.000,0.000,20.000,16.000,false,false,examples/single_app.rs
AVG,15.987,0.362,147.316,33.213,false,false,-
MAX,74.316,0.962,552.000,92.000,false,false,-
LIST OF COMPLEX FILES,----------,----------,----------,----------,----------,----------,----------
app.rs,74.316,0.962,93.092,30.609,false,true,src/app.rs
color.rs,0.000,0.000,306.000,68.000,false,true,src/color.rs
error.rs,0.531,0.031,257.941,64.000,false,true,src/error.rs
flag.rs,34.696,0.738,48.329,15.870,false,true,src/flag.rs
multiple_app.rs,0.000,0.000,552.000,92.000,false,true,examples/multiple_app.rs
TOTAL COMPLEX FILES,5,,,,,,
LIST OF IGNORED FILES,----------,----------,----------,----------,----------,----------,----------
../TimeAnalysis/seahorse-1.0.0/src/action.rs,0.000,0.000,0.000,0.000,true,-,-
TOTAL FILES IGNORED,1,,,,,,
